JobTitle,CompanyName,CompanyLocation,CompanyRating,Salary,Date,Extract_Date,Content_url,Content_text
"Digital Strategist, Financial Services",Adobe,"San Francisco, CA",4.3,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=da455bb55352334c&fccid=f89deb5a97c7738a&vjs=3,"locations
San Francisco
time type
Full time
posted on
Posted 25 Days Ago
job requisition id
R112265
Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!
The challenge
The Digital Strategy Group (DSG) works with C-level leadership at Adobe’s Enterprise customers to craft strategies for customer-experience transformation and digital innovation. Our engagements employ Adobe’s digital benchmarking capabilities, industry trends, customer-journey mapping, organizational assessments, high-level architecture assessments and other techniques to deliver high-impact recommendations. We also bring a deep industry perspective to the organization, delivering vision, published thought leadership, and aligning the ecosystem on an overall industry go-to-market strategy.
What you’ll do
The FSI (financial services & insurance) Digital Strategy Associate, you will take part in multiple strategy engagements (typically 2 to 6 weeks each) for senior customers. For each engagement, you will be part of a robust team that is passionate about developing insights and recommendations! We seek candidates who can contribute in one or more of the following areas:
Experience design — run ethnographic interviews and journey diagnostics to understand customers’ unmet needs. Build brand-new web and mobile app experiences that delight our customers’ customers and improve performance. Use Adobe XD in hands on workshops to rapidly prototype and test new designs.
Analytics and benchmarking — use Adobe’s unparalleled analytics dataset to show customers how their digital business compares within industry. Reveal insights from their own reports and the corresponding actions to optimize performance and customer experience.
Economic impact analysis — assess how improvements to customer journey and business capabilities will grow revenues, reduce costs, and generate business value. Size potential opportunities to prioritize short- & long-term recommendations. Help customers write business cases to quantify value and rationalize technology investments.
Experience architecture — assess customers’ technology landscape and data strategy to understand current implementation and usage. Recommend new solutions, integrations, and use cases to enable improved customer experiences.
You will also contribute industry leadership in the following ways:
Industry perspective – collaborate to define Adobe’s perspective on impactful industry experiences by working with deep subject matter specialists. Apply that perspective by authoring thought leadership assets to drive demand generation, field enablement, etc. Be the voice of the industry within Adobe to inform product strategy.
Industry & partner strategy – collaborate on Adobe’s strategy to deepen its customer footprint in core industries. Align the Adobe internal and partner ecosystem on the industry strategy and coordinate go-to-market efforts across functions.
This role offers rich opportunities to develop as a customer leader and business leader! You will learn the Cloud business and develop your network as you collaborate with people across Adobe, including from Sales, Marketing, Product, and Professional Services. You will have opportunities to rotate across DSG industry teams to deepen your subject matter expertise as you execute strategy engagements and contribute to industry leadership. You will also engage with Center of Excellence teams that drive core tools and capabilities that fuel DSG engagements, such as experience design and value.
What you need to succeed
Pursuit of an MBA or equivalent advanced degree
Outstanding record of academic achievement
Demonstrated passion for digital experiences and/or cloud technology
Exceptional analytical and quantitative problem-solving skills, including conducting research, analyzing data, developing hypotheses, and synthesizing recommendations
Strong interpersonal skills with ability to work effectively with people at all levels
Ability to communicate complex ideas effectively verbally and in writing
High degree of intellectual curiosity and ability to absorb concepts quickly
Willingness to travel up to 30% (actual amount may be less)
Desirable but not essential
Work or internship experience in a leading technology company, strategy consulting organization, digital agency, or marketing department
Experience in UX/UI design, user research and design-thinking methodologies
Experience creating digital/brand/media strategies along with a practical understanding of the technologies and tactics necessary for execution
Knowledge of one of the following industry groups: Retail, Travel & Hospitality, Media & Entertainment, Financial Services, Healthcare, High Tech, Manufacturing, Auto, Public Sector
Experience with the following languages and concepts: AI, web services and APIs, HTML, JavaScript, Java, relational databases, SQL scripting
When you join Adobe, you can look forward to collaborating with the most genuine people in the industry, working on projects with real purpose, and having immense pride in the products we build and the customers we support. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.
Adobe is an equal opportunity employer. We hire hardworking individuals, regardless of gender, race, ethnicity, ancestry, age, disability, sexual orientation, gender identity or expression, veteran status, cultural background or religious beliefs. We know that when our employees feel appreciated and included, they can be more creative, innovative and successful. This is what it means to be Adobe For All. Learn more about our vision here."
Business Operations Manager,Hive,"San Francisco, CA",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=5ce5c662ffe3a02a&fccid=5261110462a433d3&vjs=3,"Hive is the leading provider of cloud-based enterprise AI solutions to power the next wave of intelligent automation. We offer a portfolio of best-in-class deep learning models, built with consensus-validated training data sourced and annotated by our distributed workforce of more than 2 million contributors globally. Hive's APIs enable use cases including automated content moderation, contextual advertising, advertising and sponsorship measurement, document parsing, and more. We process billions of API requests per month for many of the world's largest and most innovative companies.
Hive has raised over $120M in capital from leading investors, including General Catalyst, 8VC, Glynn Capital, Jericho Capital, Bain & Company, Visa Ventures, and others. We have over 170 employees globally in our San Francisco and Delhi offices. Please reach out if you are interested in joining the future of AI!
Business Operations Manager Role
Hive is looking for a strong leader to provide direction, insight, and strategy across the board. As a business operations manager at Hive, you will work closely with our executive team to provide support in a variety of key activities, including improvement of key processes, implementation of systems and structure, development of company and team productivity metrics, and project management and execution of client projects. Our ideal candidate has strong generalist skills and a proven background of leadership. They are able to step into any role and help out with any project as needed. A passion for startups and AI is a must.
Responsibilities
Manage our bus ops activities by setting achievable short-term and long-term goals
Implement effective reporting and productivity goals for company teams, ensuring metrics are useful, visible, and streamlined
Plan, manage, coordinate, and execute client projects flawlessly through collaboration with business and engineering team members
Actively look for ways to improve upon and optimize existing procedures, systems, and processes
Act as a generalist in getting anything and everything done to help the company grow; anticipate challenges, react promptly and calmly to necessary changes, and ease our growing pains
Requirements
You have a Bachelor’s degree
You have 3-5 years of work experience at a top consulting or banking organization
You have a strong history of leadership; you take initiative and manage others in a way that promotes growth and efficiency
You have client-facing experience and a proven ability to engage with customers when necessary
You are highly organized and detail-oriented; you can handle multiple projects and dynamic priorities without missing a beat
You are energetic, resourceful, and driven, and have the ownership to thrive in an unstructured environment
Who We Are
We are a group of ambitious individuals who are passionate about creating a revolutionary AI company. At Hive, you will have a steep learning curve and an opportunity to contribute to one of the fastest growing AI start-ups in San Francisco. The work you do here will have a noticeable and direct impact on the development of the company.
Thank you for your interest in Hive and we hope to meet you soon!"
Software Engineer 1 - Machine Learning,Abacus.AI,"San Francisco, CA (Financial District/South Beach area)",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=2ec6e56d58e91933&fccid=3a647fcb3a1d7762&vjs=3,"Responsible for implementing various algorithms to do automated feature extraction and dataset augmentation, optimizing runtimes of neural network algorithms and building higher-level abstractions for various common AI/ML techniques. As an ML engineer, they will also work cross functionally amongst other engineers, on common ML operation tasks such as ML data management and training and model deployment, as well as build systems that are scalable.
Candidates will need to have a BS in computer science from an accredited university. In addition, we’re looking for engineers who have the following:
Working knowledge of software engineering - through job experience or coursework. Experience with Python preferred
Have at least 6 months of professional work experience in one of the following: ML/AI models in production, neural network algorithms, performance optimization of deep learning systems.
Coursework or work experience with machine learning algorithms such as classifiers, anomaly detection, and clustering"
Algorithmic Design Engineer,JITX,"San Francisco Bay Area, CA",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=887ac6b396e2a00d&fccid=65fdc0436a1dd741&vjs=3,"JITX is a way to design circuit boards faster, better, and with fewer errors. Instead of manually drafting and reviewing one-off designs, write code to generate designs programmatically. Our AI-powered solvers handle the low-level details, and make your engineering work massively reusable. Our vision at JITX is to automate hardware design for the benefit of science and the welfare of humanity. JITX is a team that is building next generation software to help companies design better electronics. Dedicated to solving difficult problems with huge impact, our first step is to automate circuit board design.

This role is responsible for breaking down, formulating, and designing an algorithmic strategy for tackling JITX's most challenging problems. You will work directly with an algorithm implementation engineer and domain expert to attack open problems in circuit board design automation, and together invent the world's first fully automated design flow. You will not need electronics experience, but will need a creative mind, and revel in formulating and solving tough problems.- You should be comfortable with or eager to learn the algorithmic building blocks: sorting, caching, canonical forms, dynamic programming, gradient descent, cost functions, branch and bound, constraint satisfaction, constraint solving, dynamic programming, breath-first traversal, depth-first traversal, A* search, linear programming, etc.
You will need to communicate clearly and be able to both share your own expertise and learn from others.You will need to formulate, break down, design, and prove correctness for your algorithm, and communicate its properties to performance engineers.Education: PhD, MS, or BS in Computational Geometry, Computer Science, Physics, or Mathematics or comparable education.

POST-COVID WORK PLAN
This role will need to be local within the California Bay Area. JITX will continue to be flexible in the Post- Covid Work Plan but this role will be asked to join certain team members on a weekly basis in a South Bay Satellite Office and likely once (or twice) a month in our Berkeley office.
In order to provide our employees with a safe working environment, our company is requiring that all employees be fully vaccinated and safely outside of the 2-week post vaccination window before working onsite, unless they have been approved medical or religious exemption. If hired, you will be required to self certify and likely show proof of vaccination (or exemption) upon the start of your employment with us.
At JITX, we celebrate and support differences. We are learning everyday by drawing on our differences in who we are, what we've experienced, and how we think to make JITX thrive. JITX is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity, gender expression, protected veteran status, and any other characteristic protected under applicable State or Federal laws and regulations."
Growth Data Scientist,"Data Science Works, Inc","San Francisco, CA 94118 (Lone Mountain/USF area)•Remote",None,"$90,000 - $120,000 a year",EmployerActive 2 days ago,2021-12-04,"https://www.indeed.com/company/Data-Science-Works,-Inc/jobs/Growth-Data-Scientist-a9f57e355f93d931?fccid=1762d95941814bb3&vjs=3","This is a post on behalf of the Ai+ Hiring Partner.Must Apply at: https://bit.ly/3kuN2KFAbout Our Hiring Partner: Growth Data Scientist is Remote. Join us in transforming the way remote teams work and communicate. Our Ai Hiring Partner AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting notes. In addition, they are making virtual meetings accessible to all employees - allowing team members with disabilities to participate in a world that is now dominated by virtual meetings. Theu are making an impact at scale and they are growing fast. Their team is made up of top talent from companies like Google, Facebook, Yahoo!, Microsoft, Pinterest, Spotify, and Plaid. They are backed by leading investors that include David Cheriton (Google’s first investor), Tim Draper (Draper Associates), Spectrum Equity, Horizons Ventures, GGV Capital, and Duke University.About the role They're looking for a Data Scientist to join as a member of the Marketing and Growth team to accelerate Hiring Partner’s user and revenue growth. The candidate will be working with a variety of stakeholders (including the founding team) across the whole organization. The ideal candidate will be extremely curious, detail-oriented, have a strong background in statistics and be obsessed with results.As a Data Scientist, you will: - Partner with product, marketing, and sales teams to help drive insights, identify opportunities, and understand behavior and long-term trends- Take a leading role in producing new datasets that unlock business opportunities - Manage the design and analysis of experiments; develop and socialize a rigorous culture of experimentation throughout the entire company- Play a foundational role in building a data culture through reproducible work, improved processes, and better tooling- Develop hypotheses and test them with data, rather than solely or primarily attempt to glean patterns from the data already in front of us- Define and monitor key metrics through consistent tracking, KPI’s, and dashboards - Develop scalable reports from end-to-end, from data extraction, data cleaning and aggregation, to designing and developing reports that generate business insightsAbout you You have experience driving business growth in an analytics role for a SAAS business. You understand the business metrics’ definitions, drivers, and implications. You enjoy deriving quantitative understanding of user and customer behaviors across different stages of their user journey (acquisition, activation, engagement, decision to pay, retention and expansion). You are obsessed with details and can easily identify the data discrepancies. You are looking for the opportunity to expand your current scope and own the full user journey analytics. You enjoy making business recommendations using data and data visualizations. You are an experienced analyst looking to grow your responsibility by joining a fast-growing, well-funded technology start-up. We are looking for someone who - Has an MS or BS in computer science, statistics, or related technical field - Has 5+ years of work experience as a data scientist, or data engineer - Has experience with data science and ML models for user segmentation or predictive analysis - A strong understanding of Tableau - Experienced in SQL and Excel - Excellent communication, relationship skills, and a strong team player - Demonstrated knowledge of standard statistical techniques like significance testing, regression modeling, etc - Familiar with Python - Familiar with the SaaS business model is a plus Nice to have - Growth experience with a B2C2B company - Experience in a fast-paced and nimble environment; experience at a startup *Hiring Partner is an equal opportunity employer.They proudly celebrate diversity and are dedicated to inclusivity.This is a post on behalf of the Ai+ Hiring Partner.Must Apply at: https://bit.ly/3kuN2KFJob Type: Full-timePay: $90,000.00 - $120,000.00 per yearSchedule:8 hour shiftEducation:Bachelor's (Preferred)Work Location: One location"
Corporate Counsel,Hive,"San Francisco, CA",None,None,Posted17 days ago,2021-12-04,https://www.indeed.com/company/Hive/jobs/Corporate-Counsel-f8b2a396654cde9a?fccid=5261110462a433d3&vjs=3,"Hive is the leading provider of cloud-based enterprise AI solutions to power the next wave of intelligent automation. We offer a portfolio of best-in-class deep learning models, built with consensus-validated training data sourced and annotated by our distributed workforce of more than 2 million contributors globally. Hive's APIs enable use cases including automated content moderation, contextual advertising, advertising and sponsorship measurement, document parsing, and more. We process billions of API requests per month for many of the world's largest and most innovative companies.Hive has raised over $120M in capital from leading investors, including General Catalyst, 8VC, Glynn Capital, Jericho Capital, Bain & Company, Visa Ventures, and others. We have over 170 employees globally in our San Francisco and Delhi offices. Please reach out if you are interested in joining the future of AI!*Corporate Counsel Role*At Hive, our Legal Team is dedicated to providing expert legal advice in a fast-paced startup environment. As corporate counsel, you will be a crucial member of Hive’s legal team and will report to our General Counsel. You will work with cross-functional teams to enable the development of our commercial legal support processes. We’re looking for someone who will find enjoyment in thinking outside of the square to draft, review and negotiate the novel, and often very complex and technical, contractual arrangements that will support and drive Hive’s continued growth within the AI industry. Our ideal candidate is comfortable leading Hive’s teams on deals, interacting with internal and external executives, and making agile decisions that comply with company standards, policy and strategy.ResponsibilitiesDraft, negotiate, and review a broad range of commercial, revenue-generating contractsProvide legal analyses of applicable laws, regulations and industry guidanceSupport continuous improvements of forms, policies and processes to help streamline and simplify the contracting processesWork cross functionally across the company to analyze legal risks, devise creative solutions and develop strong, trusted advisor relationshipsAssist our General Counsel in additional corporate matters, including M&A and complianceRequirementsJD from an accredited school and current member in good standing with the California bar5+ years of relevant legal experience, ideally gained at a well-regarded law firm followed by in-house experience (experience in the tech industry is a plus, but not required)Strong drafting skills with keen attention to detailExcellent communication skills to effectively collaborate and negotiate with both internal and external business and legal teamsProven experience handling multiple projects dynamic priorities without missing a beatExperience working with data privacy and security issuesFlexible mindset combined with technical knowledge and passion for innovationWho We AreWe are a group of ambitious individuals who are passionate about creating a revolutionary AI company. At Hive, you will have a steep learning curve and an opportunity to contribute to one of the fastest growing AI start-ups in San Francisco. The work you do here will have a noticeable and direct impact on the development of the company.Thank you for your interest in Hive and we hope to meet you soon!Job Type: Full-time"
"Product Manager, Hive Models",Hive,"San Francisco, CA+2 locations",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=e406bc04430bc984&fccid=5261110462a433d3&vjs=3,"Hive is the leading provider of cloud-based enterprise AI solutions to power the next wave of intelligent automation. We offer a portfolio of best-in-class deep learning models, built with consensus-validated training data sourced and annotated by our distributed workforce of more than 2 million contributors globally. Hive's APIs enable use cases including automated content moderation, contextual advertising, advertising and sponsorship measurement, document parsing, and more. We process billions of API requests per month for many of the world's largest and most innovative companies.
Hive has raised over $120M in capital from leading investors, including General Catalyst, 8VC, Glynn Capital, Jericho Capital, Bain & Company, Visa Ventures, and others. We have over 170 employees globally in our San Francisco and Delhi offices. Please reach out if you are interested in joining the future of AI!
Product Manager, Hive Models Role
As a Product Manager on our Hive Models team, you will work cross-functionally with all stakeholders to define product requirements and see the implementation through to completion, leading development efforts between our Machine Learning, Core Infrastructure, and Product teams. You will play a crucial role in the core of our business: our cloud-hosted deep learning models. You are both the foundation and the catalyst for Hive’s growth; you are a key reference for our existing clients and are relentless in delivering on our innovative capabilities.
Responsibilities
Own the roadmap, functional requirements, and development timeline for our Hive Models
Gain deep understanding of our customers’ needs across various industries
Oversee product execution from inception to delivery
Help engineering and product teams estimate and decompose complex projects into manageable parts with delivery plans, and track progress against those plans
Own our Hive Models portfolio, understanding the needs of the product development teams, and envisioning and executing the creation of our deep learning models that can provide human-like interpretation of video, image, audio and text
Clearly communicate product benefits to our users and internal stakeholders
Work with the executive team to determine top priorities, help define new features, and improve models habitually
Measure engineering velocity, and help identify and establish new best practices to improve the speed at which projects are delivered


Requirements
You have a Bachelor of Science in Computer Science, Engineering, Statistics, or similar field
You have hands-on experience with modern machine learning libraries, frameworks, and technologies
You have excellent verbal and written communication and presentation skills
You have a working knowledge of functional programming languages such as Python or Node.JS
You have 2-3 years of combined Machine Learning and Product Management experience
You are comfortable with — and can thrive in — an environment that is constantly changing, frequently uncertain, and at times chaotic
You are detail-oriented, organized, collaborative, and hands-on
You have experience leading a team, and effectively implementing team goals and deadlines
Beyond just shipping new products, you obsess about continuous product improvement
Who We Are
We are a group of ambitious individuals who are passionate about creating a revolutionary AI company. At Hive, you will have a steep learning curve and an opportunity to contribute to one of the fastest growing AI start-ups in San Francisco. The work you do here will have a noticeable and direct impact on the development of the company.
Thank you for your interest in Hive and we hope to meet you soon!"
Associate - Global Technology AI,Allianz Global Investors,"San Francisco, CA 94105 (Financial District area)",3.9,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=8ff77f185d9798f9&fccid=bf422d4af99309b2&vjs=3,"Join us. Let’s care for tomorrow.
At Allianz Global Investors our people enjoy motivating, fulfilling careers. If you are looking for a fast-paced working environment, you are resolved to cultivate and expand your talents and relish a challenge, then join us now! We are committed to giving our people – experienced and energetic professionals alike – the opportunities and experiences they seek to thrive and gain personal fulfilment. We will work with you to craft your own career, develop your personal growth, and align your achievements with your ambitions.

We are looking for you! Allianz Global Investors is currently seeking an Associate to join our Global Artificial Intelligence Investment Team covering a variety of strategies including AI, Cloud, Thematic, and Multi-Asset. In this role, you will play an integral role with the team in all aspects of the investment process and assist with the active management of several strategies. The Associate can expect to have meaningful interaction with senior professionals both internally and externally with management teams. The role is based in our San Francisco office, and will consider those outside of the Bay Area with willingness to relocate.

Responsibilities:
Generate new investment ideas primarily focused on the technology sector.
Conduct due diligence for potential investments including modelling, interacting with senior management
and customers/partners.
Support the management of existing portfolios including daily trading & monitoring, monthly reporting and commentary, fundamental research & financial modeling, and marketing & client support.
Maintain and enhance presentations, whitepapers and marketing collateral related to our thematic innovation strategies.
Active participation in company and sell side analyst meetings, industry conferences, portfolio company discussions and decisions.
Strong interest in technological innovation and the ramifications for public equities/private companies.

Key Requirements/Skills/Experience
BA / BS degree required
Degree major - Economics, or Finance; would also consider Computer Science majors interested in Investment Management
2-4 years of investment related work experience; Prior experience in equity research, consulting or investment banking a plus
Exceptional writing and verbal communication skills; Strong data management and research skills
A passion for the markets & innovation
Ability to learn quickly & thrive in a fast pace environment
About Allianz Global Investors
Allianz Global Investors is a leading active asset manager with over 690 investment professionals in 23 offices worldwide and managing EUR 633 billion in assets for individuals, families, and institutions.
Active is the most important word in our vocabulary. We believe in solving, not selling, adding value beyond pure economic gain. We offer a collegial culture based on strong values, taking individual responsibility, and dedication to mastering challenging tasks. To harness the power of innovation, we invest in the development of our employees. We encourage you to make an impact in a diverse, international, technology-enabled, and increasingly agile environment. If you feel inspired to elevate the active asset management experience, this is the place for you.
We are committed to deliver excellence to our clients, advisors, employees, our parent company and within our industry. Putting our clients' needs first, behaving in an open and transparent way and treating people fairly means acting with integrity. We respect difference and diversity and reward individual performance as well as teamwork.

Allianz Global Investors is an Equal Opportunity Employer committed to providing equal employment opportunity without regard to an individual’s race, color, religion, age, gender, sexual orientation, veteran status, national origin or disability. Allianz Global Investors hires and promotes individuals solely on the basis of their qualifications for the job to be filled.

Active is: Allianz Global Investors"
Pre-VC Startup Business Development Manager,"Amazon Web Services, Inc.","San Francisco, CA",3.5,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=703ad0f4278fceb6&fccid=fe2d21eef233e94a&vjs=3,"
10+ years of experience and knowledge within the startup ecosystem in an operator role or as an advisor and/or investor
10+ years of business development or program / product management experience in an Enterprise, SMB, or startup

The AWS early stage startup team works directly with many of the top startups in the world. You will spend your days working with early stage startup founders and navigating across AWS and Amazon to enable startups to realize outsized success. The team is comprised of a rare group of high-caliber former founders and startup operators, working within Amazon to drive AWS strategy and support the next generation of entrepreneurs.

You might never have thought of working at AWS – but this is a unique role to work for one of the fastest growing startups of all time (AWS, believe it or not) while being plugged into the center of the startup ecosystem. We’re seeking team members who have founded companies, and who get excited about working with and mentoring early stage startup founders day-in and day-out.

If this role sounds interesting, read on:
Candidates must have a background as a startup founder or investor, where they’ve built a business, raised capital, and experienced the arc of business-building from nothing to something.

Candidates will possess both a business and technical background – a business background to enable the candidate to drive engagement with leading startup accelerators, and technical exposure to enable the candidate to easily interact with startup founders, engineers, and builders.

Top candidates will have worked in a structured and rigorous environment, whether in a corporate culture (e.g., Amazon, Google, Facebook), later-stage startup environment (e.g., reporting to a Board of Directors), investment banking, and/or consulting. The candidate must have demonstrated the ability to think strategically about business, product, and technical challenges, convey compelling data-driven decisions, and work collaboratively to build consensus.

A keen sense of ownership, drive, and scrappiness is a must, as is the ability to leverage and motivate Amazon and AWS’s global organization to achieve results:

Role & Responsibilities:

Serve as a key member of the Business Development team in helping drive overall AWS market and technical strategy.
Work closely with startup organizations and portfolio companies to ensure they are successful using the AWS platform, by providing technical resources and business mentorship.
Execute strategic initiatives for AWS, while working with key internal stakeholders (e.g., sales teams, partners, marketing, support, etc.).
Understand and actively utilize salesforce.com and other internal Amazon systems, to manage reporting, tracking, and goal attainment for the early stage startup team.
Build new programs to support early stage startups, on behalf of AWS and Amazon.
Prepare and deliver data-driven reviews to senior management about progress, achievements, and roadblocks in the early stage startup business.
Serve as the primary eyes and ears for AWS and Amazon to the startup community.
Handle a high volume of engagements and the fast pace of the cloud computing market.
Some relevant technical knowledge required, such as: fundamentals of cloud computing and virtualization, storage systems, database systems, core distributed computing concepts, content delivery networks (CDNs), artificial intelligence / machine learning, etc., with ability to go deep enough on technical aspects to differentiate between AWS services.

Some travel required.


Experience as a startup founder or investor
Knowledge of and familiarity within the startup ecosystem
Advanced experience with data focused tools
MBA or graduate degree

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
Sr. Sales Specialist - AI and Data Analytics,NetApp,"San Francisco, CA",4.1,None,Posted24 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=57292159c365f91e&fccid=77cec2f25f9bd7ed&vjs=3,"About NetApp

We’re forward-thinking technology people with heart. We make our own rules, drive our own opportunities, and try to approach every challenge with fresh eyes. Of course, we can’t do it alone. We know when to ask for help, collaborate with others, and partner with smart people. We embrace diversity and openness because it’s in our DNA. We push limits and reward great ideas. What is your great idea?

Job Summary

You have broad and deep experience in both the business and sales aspects of artificial intelligence (AI) and machine learning (ML) and rich experience understanding and influencing both storage and compute technology choices for AI/ML/DL infrastructures. Have experience in understanding customer requirements and business use cases and proposing solutions accordingly. Able to help AI business leaders and technologists accelerate the adoption of these new technologies within their organizations and have deep experience to discuss data pipeline and data management challenges in AI/ML/DL initiatives and projects.

The ideal candidate should possess business and sales expertise in AI and ML domain in general and more specifically in data pipeline management, data science project lifecycle management, and IT infrastructure requirements for AI/ML/DL project implementations. The ideal candidate should also have strong background and understanding of AI business use cases across major industries such as Healthcare, FSI and Manufacturing. This role requires a strong passion for solving customers’ and partners’ current and future AI project challenges and help them achieve the required ROI by meeting their demands and proposing corresponding solutions. The ideal candidate should also possess high level negotiation skills to be able to position NetApp’s value add among the competitive landscape. This is a sales role with a defined quota.

Responsibilities:
Sell NetApp solutions into AI projects within the Manufacturing and Life Sciences verticals

Carry a quota and achieve targets

Understand and uncover customers’ challenges in adopting AI/ML technologies, specifically those related to infrastructure and data management. Show how NetApp partner lead solutions help them overcome these challenges and accelerate their AI/ML/DL projects

Generate demand by discussing business use cases with partners and customers and show the value add of adopting AI/ML/DL and related technologies within their specific industry

Work closely with NetApp business units, sales and technical leadership teams to reflect customer/partner requirements and technical demands to build tailored programs and develop new integration points

Work with sales and field teams on AI/ML campaigns and help implementing them

Communicate internally and externally about NetApp’s AI/ML approach, value proposition, and offerings

Job Requirements

BASIC QUALIFICATIONS

8 years or more of relevant business development, sales and/or customer engagement experience and sales leadership in the IT domain.

2 years or more experience in AI/ML/DL and data science projects and technologies

Industry use cases knowledge

Bachelors degree in computer science, engineering or related technical degree

Strong written and verbal communication skills

Preferred Qualifications

Deep knowledge of cloud computing and cloud based AI/ML/DL services and offerings

Previous relationship with NVIDIA and NPN partners

Knowledge in compute and storage technology landscape in general

Previous engagements in High Performance Computing and parallel file systems projects

Understanding the intersection of technology and business and being comfortable with either audience

Developing close relationships with Field and Partner selling teams and earning their trust to help them close deals

Become a trusted technology advisor to the Field to coach on the viability of opportunities

Working with Product Management and Engineering to help them understand Field requirements

Confident public speaking at Industry events

Experience in channel ecosystem management such as building SKU’s, forming and executing Go-To-Market Strategy with channel partners

In-depth experience in AI/ML/DL technology, data management challenges, and customer requirements

In-depth knowledge in AI/ML/DL business use cases and vertical based offerings

Demonstrated ability to think strategically about business, product, and technical challenges.

Demonstrated ability to build and scale programs that meet customers’ requirements and drive revenue demand

Strong organizational, presentation, and writing skills

Education

BS/BA Degree required & Advanced Degree (Masters or PhD) in relevant business, computer science, or engineering disciplines is Desired.

Did you know…
Statistics show women apply to jobs only when they’re 100% qualified. But no one is 100% qualified. We encourage you to shift the trend and apply anyway! We look forward to hearing from you.

Why NetApp?

In a world full of generalists, NetApp is a specialist. No one knows how to elevate the world’s biggest clouds like NetApp. We are data-driven and empowered to innovate. Trust, integrity, and teamwork all combine to make a difference for our customers, partners, and communities.

We expect a healthy work-life balance. Our volunteer time off program is best in class, offering employees 40 hours of paid time off per year to volunteer with their favorite organizations. We provide comprehensive medical, dental, wellness, and vision plans for you and your family. We offer educational assistance, legal services, and access to discounts. We also offer financial savings programs to help you plan for your future.

If you run toward knowledge and problem-solving, join us."
