JobTitle,CompanyName,CompanyLocation,CompanyRating,Salary,Date,Extract_Date,Content_url,Content_text
newSenior Software Engineer,Microsoft,"Bellevue, WA+13 locations",4.2,None,PostedToday,2021-12-04,https://www.indeed.com/rc/clk?jk=ee44cf039ad38069&fccid=734cb5a01ee60f80&vjs=3,"Dynamics 365 for Marketing team is tackling one of the hottest domains for businesses today – nurturing the current and potential customers. We build and run intelligent cloud services that help organizations learn more about their customers, tailor their marketing and personalize their engagements for maximum impact.
Dynamics 365 for Marketing is a part of rapidly growing Microsoft Dynamics 365 suite, which is one of the recognized leaders in the world of business applications. Dynamics 365 provides the best showcase for innovations across Microsoft through making Machine Learning, Augmented Reality, Predictive Analytics integral part of the end-to-end Digital Transformation for businesses.
Our team innovates quickly and works closely with partners and customers in an agile, high energy environment. If the opportunity to collaborate with diverse engineering teams on enabling end-to-end marketing scenarios using cutting-edge technologies and solving prominent problems for large-scale business applications excites you, please come and talk to us!
Responsibilities
Define and implement common framework components to enable real time, highly scalable and personalized customer experience orchestration and segmentation
Build and run scalable, high availability services enabling creation and orchestration on complex computed events, support for hyper-personalization and segmentation. Enable Customer Interaction Insights, and integrations with various channels and social platforms
Provide seamless orchestration to and from apps across Dynamics 365 suite
Collaborate with teammates in various roles to plan and execute on key deliverables
Work in a culture of continuous improvement, adaptation, reflection and growth.
Qualifications
Required Qualifications:
5+ years of professional experience designing, building, and running Cloud Services at large scale
5+ years professional software development with at least two of the following C#/C++/Java, SQL, HTML5/JavaScript/React or ASP.NET
Preferred Qualifications:
Bachelor’s or master’s degree in Computer Science, Engineering or Data Sciences or related
Experience with Continuous Integration and Continuous Deployment paradigms
Familiarity with SQL databases and/or NoSQL document stores.
Background and passion for applying AI/ML in solving business problems at scale
Experience using and contributing to Open Source or Inner Source
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Strategy & Analytics AI and Data Strategy Consultant,Deloitte,"Seattle, WA 98104 (Downtown area)+2 locations",4.0,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=f47fdfea5cb35ff4&fccid=9e215d88a6b33622&vjs=3,"Several disruptive forces are creating opportunities and mandates to leverage AI for breakthrough levels of business performance and risk mitigation. Shifting customer preferences (e.g. personalization and localization), advancements in science & technology (e.g. new data sources and inexpensive big data), and market factors (e.g. blurred industry boundaries) are pressuring companies to rethink the value of AI and data.

Monitor Deloitte's AI and Data Strategy market offering helps our clients navigate these disruptive forces to deliver shareholder value. We imagine how AI will drive the most important actions and decisions a company must make to win, working directly with C-suite leaders to craft their AI strategy. We then work with client leaders to design and deliver the AI products, operating model, and capabilities required to deliver on their strategy.

Work you'll do

You will lead a team and advise clients as you assess the catalysts that trigger our client's AI ambition, provide leading outside-in perspective and inspiration as to how AI can drive shareholder value, design products, and assess talent and infrastructure readiness.

Consultant level responsibilities include: identifying and prioritizing AI and data opportunities to drive both growth and efficiency, defining and modeling the AI business case, defining how to monetize data assets, developing the AI roadmap, identifying talent and technology gaps, and defining changes to roles and incentives to maximize adoption of data and AI driven insights. You will be expected to implement and oversee the quality of deliverables and effectively manage the team and day-to-day relationships to ensure exceptional performance. Consultants also participate in the development and presentation of proposals for business development activities. You will have the opportunity to lead small engagements or components of large, complex engagements.

The Team

The AI & Data Strategy market offering is the 'tip of the spear' for AI driven transformations and partners with several other market offerings to deliver. This includes Strategic Growth Transformation, Transformations Strategy & Design, Technology Strategy & Business Transformation, and Analytics & Cognitive.

Our professionals serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win, in order to drive growth and enterprise value. These choices will help identify data- and insight-led strategies for growth and value creation, develop the appropriate business models, operating models, capabilities, and platforms to support their strategic vision, maximize ROI of technology investments, and leverage trends to architect future business strategies leveraging data and insights.

Qualifications

6+ years of relevant consulting or industry experience
Experience developing business case narratives and supporting financial models for transformational investments
Experience in Microsoft Excel, PowerPoint, and data visualization tools (e.g. Tableau, PowerBI)
Ability to work independently, manage small engagements with multiple work threads, or parts of large engagements
Strong program management skills with experience managing and delivering complex and critical programs
Excellent oral and written communication skills
Ability to influence others and lead teams
Exhibit a passion for AI and data and have a thirst to continually learn and keep pace with the latest innovations and applications
A Bachelor's Degree or equivalent experience
Eagerness and ability to mentor junior staff
Travel up to 50% (While 50% travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice).
Limited immigration sponsorship may be available
Preferred:

Advanced degree (MBA or data science preferred)
Experience building AI solutions
Experience working with executives to develop, define, and execute data, analytics, or AI strategy or general strategy engagements
Strategy_Consulting21"
"AI/ML - ML Research Lead, Machine Translation",Apple,"Seattle, WA",4.2,None,Posted29 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=a1c96825ba401a5b&fccid=c1099851e9794854&vjs=3,"Summary
Posted: Nov 4, 2021
Weekly Hours: 40
Role Number:200309407
Would you like to play a critical part in the next revolution of human-computer interaction? The Apple machine translation team is building the groundbreaking technology that enables connecting people across language barriers. We are looking for Data Engineer passionate about designing and developing solution to create scalable and high quality data asset to power Apple MT products.
Key Qualifications
Strong programming and software engineering skills (Python, Java, or equivalent)
Ability to analyze large data sets, perform data visualizations, develop hypotheses, and make insightful recommendations
Experience at developing linguistic annotation project (e.g. Machine Translation, ASR Transcription, and Natural Language Processing)
A self-starter, proven ability to manage multiple projects to strict deadlines.
Good communication and documentation skills. ability to interact with all levels of engineers
Description
Apple Machine Translation(MT) is powered by high quality annotations and massive data acquisition. The MT data engineer is instrumental in designing and developing a method, a pipeline, documentation for data extraction, data curation, data annotation, and data analysis and auditing, to create valuable data asset for Apple MT products. Responsibilities include * Develop data extraction, annotation, auditing pipeline to improve MT data annotation efficiency and quality * Develop large scale data processing pipeline in distributed computing environments * Document development for data asset management * Development of annotation project strategies, interfaces, and guidelines * Serve as an interface for feedback and questions from annotators back to MT engineers.
Education & Experience
Bachelor’s or Master’s in engineering. Computer science related area and data science related are preferred
Additional Requirements
2+ year experience in data analytics and software engineering Experience in linguistic annotation is preferred Distributed computing experience like Spark and MapReduce preferred"
Cloud and AI Strategy & Development Manager,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",4.2,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=a5de04fe129a03fd&fccid=734cb5a01ee60f80&vjs=3,"The Cloud & AI Corporate Strategy team is chartered with defining the strategy for Microsoft’s Cloud and AI business. The team has built a track record of spotting trends early and using those insights to drive Microsoft’s strategy and direction.
The group broadly focuses on three sets of activities:
Thought leadership on the major shifts in the technology industry such as Digital Transformation (e.g., this was the team that originally pushed for Microsoft’s strategy shift towards the cloud -The Economics of the Cloud)
Translating strategy into product reality across Azure, Artificial Intelligence, IoT, Mixed Reality and SaaS including big bet M&A (e.g., the team drove the recent GitHub acquisition).
Engaging with our top customers to help them formulate their Digital Transformation strategy.
For this particular role we’re looking someone with a background either in strategy/consulting or product management/product architecture to enhance the teams depth. You will play a key role in not only the continuing transforming of one of the world’s largest software companies but also in transforming whole industries as we help customers charter their digital transformation journey. You’ll contribute to the teams projects with your expertise and experience while also being a strategic advisor who looks across the portfolio of Microsoft’s Cloud and AI products and influences the direction of Microsoft’s current and future products.
Responsibilities
Contributes to one or multiple defined Strategy project(s), with guidance as needed with increasing independence.
Develops an understanding of Microsoft’s product portfolio, strategic priorities, competitive position, gaps, and potential opportunities. Investigates and provides an analysis of the merger and acquisition (M&A), venture funding and public market environment and trends.
Synthesizes findings into insights within a project, including implications that inform business decisions; leverages insights to support strategic recommendations for Microsoft, with guidance from project leads.
Communicates and advocates insights to business leaders and conveys viewpoints through written documents (e.g., memos, reports) and influence models (e.g., meetings, presentations). Delivers project findings, recommendations, and implications to business partners to facilitate senior discussions and decision making.
Establishes and maintains key points of contact with internal teams (e.g., Finance, Marketing, Engineering). Builds working relationships with project stakeholders and business partners. Shares knowledge with business leaders on a particular area of expertise, leveraging and broadening deep technical/product knowledge and market awareness for a domain to inform strategic business decisions.
Qualifications
Required/Minimum Qualifications
Bachelor's Degree in Business, Finance, Economics, Liberal Arts, Computer Science, or related field AND 1+ years of marketing, strategy, business planning, consulting, banking, finance, economics, and/or partner organization experience
OR equivalent experience (e.g., scaling a business, incubation, driving change in a large company, entrepreneurship).
Additional or Preferred Qualifications
Bachelor's Degree in Business, Finance, Economics, Liberal Arts, Computer Science, or related field AND 5+ years of marketing, strategy, business planning, consulting, banking, finance, economics, B2B or B2C technology product management, and/or partner organization experience
OR Master's Degree in Business Administration or related field AND 3+ years of marketing, strategy, business planning, consulting, banking, finance, economics, and/or partner organization experience
OR equivalent experience (e.g., scaling a business, incubation, driving change in a large company, entrepreneurship).
2+ years experience in Strategy, Management Consulting, and/or Finance.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Principal Product Manager Technical - Robotics AI,Amazon.com Services LLC,"Seattle, WA+21 locations",3.5,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=5d6f3f93e55fc3c3&fccid=fe2d21eef233e94a&vjs=3,"
Bachelor’s degree in a technical discipline (EE, Computer Science, Computer Engineering, Software Engineering)
7+ years of work experience in technical program/product management
Ability to work with engineering community at all levels of the organization to gain consensus on technical decisions around ideas that are both transformational and disruptive.
Strong software development background with experience in software development cycle, and in managing and delivering large cross-functional programs.
Comfortable communicating (verbally and written) with senior leadership

Are you excited about building Robotics AI technology that works seamlessly with and around people? The Robotics AI team at Amazon is building high-performance, real-time robotic systems that can perceive, learn and act intelligently alongside humans, at Amazon scale.

To this end, we are seeking a Principal Technical Program Manager. The candidate will work with the FC and engineering teams in coming up with technical solutions as well as aligning cross-functionally both in terms of guiding the design/development within our group and getting the work prioritized across multiple teams/stakeholders. You will thrive in a highly collaborative, creative, analytical, and fast-paced environment in solving problems in connecting the suppliers to the customers optimally.

In this role you will be responsible for scoping and delivering large projects across the Fulfillment Organization. Responsibilities include collection of business and systems requirements from internal and external customers, writing specifications, driving project schedules from design to release, and managing the production launch. You will lead and coordinate design/implementation efforts between internal teams and outside merchants and vendors to develop optimal solutions. You will be expected to make appropriate tradeoffs to optimize time-to-market, clearly communicate goals, roles, responsibilities, and desired outcomes to internal cross-functional and remote project teams

The right candidate will possess a strong program management background, will have demonstrated experience leading large projects, and will have a well-rounded technical background in software and hardware systems. You must be able to thrive and succeed in an entrepreneurial environment, and not be hindered by ambiguity or competing priorities. This means you are not only able to develop and drive high-level strategic initiatives, but can also roll up your sleeves, dig in and get the job done. As a Principal TPM, you will anticipate bottlenecks, provide escalation management, anticipate and make tradeoffs, and balance the business needs versus technical constraints. An ability to take large, complex projects and break them down into manageable pieces, develop functional specifications, then deliver them in a successful and timely manner is expected. Maturity, high judgment, negotiation skills, ability to influence, analytical talent and leadership are essential to success in this role.


Masters or advanced technical degree and prior experience as software engineer.
Experience supporting machine learning applications or operations research and optimization.
Independent and Entrepreneurial showing the ability to work with minimal direction
Demonstrated experience incubating and commercializing new technology, working closely with research scientists and technical teams from idea generation through implementation.
Experience working on projects involving real hardware

Amazon is committed to a diverse and inclusive workplace.

Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us"
Sr. Technical Content Strategist,Amazon.com Services LLC,"Bellevue, WA",3.5,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=545878103f01e858&fccid=fe2d21eef233e94a&vjs=3,"
Bachelor’s degree in writing or relevant experience
At least five years of experience as a Content Strategist, Content Manager, or similar role
Strong written and verbal communication skills
Demonstrated ability to communicate and collaborate with multi-disciplinary teams
Self-starter that can operate efficiently within ambiguous situations
Demonstrated competency in cross-cultural communication and program building
Proven ability to work across teams and synthesize feedback and input from creative
Experience working closely with software development teams
Experience working with agile project management methodologies. stakeholders

Are you passionate about Artificial Intelligence, Machine Learning and Deep Learning? Do you want to be at the bleeding edge of innovation in AI? Do you believe in the scaled impact a platform can have? If that is you, then we should talk.

Alexa’s Secure AI Foundations (SAIF) Platform is the platform that thousands of Alexa Scientists, Modelers, Engineers, and Researchers use to invent new technology that powers Alexa - one of the most advanced customer obsessed AI systems in production around the world.
We're looking for a Senior Technical Content Strategist who will combine their expert technical writing skills along with their knowledge of determining content requirements, monitoring customer engagement and analyzing data, establishing editorial voice and style, and managing writing calendars to help design and maintain the detailed technical documentation that supports Amazon's global developer population.

As one of the founding members of this small and growing team, you'll have the flexibility to think big and define new approaches for our new Docs Like Code implementation. You'll also be a part of the product planning process to also help champion a great developer experience.

The ideal candidate is an expert technical communicator with proven experience as a Content Strategist, Content Manager, or similar role.
You’ll work with our internal teams to understand our audience, identify gaps in our content and recommend new topics, refine style guides, manage our editorial calendar, author, proofread, and edit content, and monitor traffic and engagement. You’ll gather feedback and develop ways to make our content more discoverable and enable our customers to be as effective and efficient as possible. We are growing quickly so there is an endless range of new opportunities for you if you are excited to experiment, learn, and innovate.

Key Responsibilities:

Develop engaging content that is consistent with our customer requirements
Help define processes and policies for enabling community contributions within a Docs Like Code framework
Perform content gap analyses
Track and prioritize feedback and improvements to documentation
Reconcile conflicting documentation priorities and deadlines with stakeholders
Communicate ongoing documentation progress with stakeholders
Manage the editorial calendar
Monitor customer traffic and engagement
Experience working with markdown and Docs Like Code systems
Experience working with Git or a similar distributed version control systems
General awesomeness in technical documentation and life
Bonus points: Familiarity with Artificial Intelligence, Machine Learning, and Deep Learning

"
Data Operations - Production Delivery Analyst - Seattle,BlackRock,"Seattle, WA 98101 (Downtown area)",3.8,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=e216073521846c39&fccid=58c732f14833248a&vjs=3,"Description
About this role
The role sits in Data Operations within Data & AI which is a centralized data group dedicated to ensuring that all information required for the investment management process including positions, security data, pricing, risk, cash, net asset value (NAV), performance and compliance are delivered through the Green Package consistently, accurately and on a timely basis.
Candidates for this role will be part of our Production Delivery team. Production Delivery is a team that is responsible for the timely and accurate delivery of Risk and Performance Analytics Reporting to our clients through the release of the Green Package (GP) product. The GP is a comprehensive suite of reports and tools which allow portfolio management teams to manage market risk and make sound investment decisions. Production Delivery is a fast paced and challenging environment with team members who all share an interest in Finance and Technology.
Key Responsibilities:
Have a good understanding of Fixed Income, Equity, Derivatives and Alternatives products and how they are modeled and traded in Aladdin.
Use technical skills to ensure the accuracy of large analytical data sets, automate processes with scripts and macros and efficiently query information from a vast database.
Exhibit attention to detail when quality checking Green Package analytics and be accountable of timely delivery of reports to clients in accordance with Service Level Agreements.
Engage in meetings with end-users of the Green Package product from all levels within the company from Portfolio and Risk Managers to Operations teams and also with our external Clients.
Support client requests related to the Green Package analytics.
Be a ‘Student of the Markets’ by following the global markets on a daily basis to understand how macro-economic factors can affect the Green Package analytics and portfolios management’s risk and investment decisions.
Project work: engaging with other internal teams to think creatively and deliver innovative solutions to our complex client demands.
Show desire to work in a constantly evolving, changing and challenging environment.
Skills & Qualifications:
Excellent problem-solving and critical-thinking skills and an ability to identify problems, design and articulate solutions and implement change.
Knowledge of financial products in Fixed Income, Equities and Derivatives, and familiarity with Risk analytics such as Durations, Spreads, Beta and VaR would be an advantage.
Must possess strong verbal and written communication skills and be able to develop good working relationships with stakeholders.
Technical skills (SQL, UNIX, Python and PERL) are preferred but not necessary.
Must be detail orientated, possess initiative and work well under pressure.
Degree in Finance, Engineering or Technology would be preferred.
Given that the nature of this role is Finance and Technology (FinTech) centric, we would like candidates who demonstrate an aptitude for learning these aspects of the job.
Developmental Value:
Candidates will gain exposure to working directly with our stakeholders such as Portfolio Management Group, Risk & Quantitative Analysis, Client Reporting Teams and BlackRock Solutions Aladdin Clients.
Candidates will have the opportunity to develop knowledge on the constantly evolving Aladdin investment technology, improve on their finance knowledge and technical skills.
Candidates will have the opportunity to participate in projects that will push them to think outside the box in order to solve numerous complex issues.
Our benefits

To help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.
About BlackRock
At BlackRock, we are all connected by one mission: to help more and more people experience financial well-being. Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.
This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.
BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.
BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law."
"Qualitative Researcher, AI",Facebook App,"Seattle, WA",4.1,None,Posted25 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=1022a834fa382a04&fccid=ba07516c418dda52&vjs=3,"Our role is to deeply understand people and communities, and drive insights that can shape AI-based innovation. We aim to inspire design, engineering and research scientists to solve people problems where AI can make a significant difference and create futures where people and societies will thrive.The mission of AI Integrity is to build state-of-the-art AI solutions to keep people safe on the Facebook family of products. Our role is to facilitate a real-world understanding of the people impacted by AI Integrity’s work: those who will create content, view content, or be tasked with evaluating that content.


Orchestrate strategic visioning and analytical activity, moving between macro trends and micro trends and developing substantiated POV's for AI related topics
Partner with design, engineering and research peers to develop AI use cases that start with people's needs at the center and demonstrate Facebook AI technology
Identify opportunities to constantly improve the quality of thinking applied to AI insights
Does not need to do own advanced statistics, but must be able to talk articulately about past experience designing and executing online surveys and mixed methods studies


BA/BS in a human behavior related field, such as human-computer interaction, psychology, sociology, communication, information science, media studies, or economics
Experience designing & conducting international studies, both qualitative and quantitative, that include non-English speaking respondents
Experience moderating 1:1 interviews and has done at least 1 usability study
Experience with data and utilizing numbers to define and support hypotheses
Experience doing research for high tech companies, either as a research vendor or as an internal researcher


Prefer 10+ years of research experience—this position requires someone who can effectively navigate difficult interactions with a wide range of senior stakeholders
Presented research findings to senior executives
Experience conducting research with both consumers and highly technical audiences (e.g., developers, IT specialists)
Experience with ethnography and/or diary studies
Demonstrated experience running brainstorming or activation workshops is preferred
Communicate in multiple languages
Educational background in psychology and/or consumer behavior and/or behavioral economics


Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.


Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
newSoftware Development Manager,Conversica,"Seattle, WA•Remote",3.5,None,PostedToday,2021-12-04,https://www.indeed.com/company/Conversica/jobs/Software-Development-Manager-80a1410e9ca23114?fccid=bfb7fb240d4e6545&vjs=3,"Conversica is the pioneer and leading provider of Intelligent Virtual Assistants helping organizations attract, acquire and grow customers at scale. Conversica Intelligent Virtual Assistants are AI-powered, SaaS-based software applications that serve as virtual team members and autonomously engage contacts, prospects, customers, or partners in personalized human-like, two-way interactions to drive towards the next best action across the customer revenue lifecycle; whether that’s scheduling a sales meeting, gauging interest to buy additional products or services, or politely but persistently collecting overdue payments.Reaching out to over 100 million people on behalf of thousands of companies, Conversica Intelligent Virtual Assistants are built on a proven and patented intelligent automation platform integrating natural language understanding (NLU), natural language generation (NLG), autonomous action chains and deep learning capabilities that engage prospects over multiple communication channels and in multiple languages.Winning multiple awards including Inc. 5000 fastest growing companies and recognized by Gartner as a Cool Vendor, Conversica is a portfolio company of Providence Equity, Kennet Partners and Toba Capital and is headquartered in Foster City, California in Silicon Valley with additional US offices in Seattle and Bellingham, Washington.We are looking for a high-performing Software Development Manager who is able to lead and manage one or more engineering teams for Conversica. The person in this role should be an experienced engineering professional with a proven track record of delivering value-centric, quality B2B Enterprise SaaS products. We are enhancing our existing and building out the next generation of AI Assistants on our Conversational AI platform.This role can be Remote based and/or work from our office locations in Seattle or Bellingham, WA or Foster City, CA.ResponsibilitiesLead an engineering team developing services and applications in various system areas such as conversation development, natural language and machine learning applications, reporting and analytics, administration and control, and platform servicesOrganize, lead, and participate in design sessions about your services and applications as well as other components from all areas of our systemManage and grow teams and talent for current and future goalsPerform hands-on code development, both individually and in cooperation with team members, test your code, and ship it to productionMaintain and debug your services and applications in our production environmentWork closely with our Product Management, UX and our Customer Success teamsHave fun, be fun, and get a lot doneRequirements7+ years professional hands-on software development experience preferably with high-volume distributed systems experienceBachelor’s degree in Computer Science or similar experience in a related technical fieldExperience managing high-performance engineering teams of 4-10 team membersStrong architecture, design, and coding skills with an understanding of service-oriented-architecture and micro-service-architecture (MSA) patternsStrong demonstrable knowledge of both relational and NoSQL databases, preferably MySQL, redshift, and DynamoDBStrong software development process background in Agile methodologies such as Scrum and KanbanExemplary communication skills (both oral and written) with experience producing technical and design documentation of complex systems and processesIn-depth knowledge of object-oriented methodologies, UML design techniques, event driven architectures, and other design patternsFamiliarity with open-source libraries/frameworks, preferably in Python, JavaScript or PHPExperience with XML, JSON and restful Web-servicesRelevant experience developing applications and mentoring development teams to meet privacy by design and security by design principles.Direct experience enforcing privacy and security perimeter control, access, service, and API design requirements based on roles against a least privilege, zero trust model. The candidate will be expected to manage a team of Software Development Engineers that implement changes to Conversica’s application successfully according to Conversica’s Software Development Lifecycle, Secure Development Policy, Architectural standards, and Security Requirements.General understanding of U.S. and international privacy laws and regulations, especially as it relates to database access controls and security design requirements (Applicable Conversica Regulations - GDPR, CCPA, CAN-SPAM, and COPPA). General understanding of applicable security frameworks (AWS CIS Benchmark, SOC 2, ISO 27001, HIPPA, PCI-DSS)Experience with applied AI frameworks is a plus#LI-RemoteConversica is an equal opportunity employer and values diversity at our company. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, veteran status, or disability status.Headhunters and recruitment agencies may not submit resumes/CVs through this Web site or directly to managers. Conversica does not accept unsolicited headhunter and agency resumes. We will not pay fees to any third-party agency or company that does not have a signed agreement with Conversica.Job Type: Full-time"
Front End Engineer - Amazon AI,Amazon.com Services LLC,"Seattle, WA+14 locations",3.5,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=5eb56d73449b5ce8&fccid=fe2d21eef233e94a&vjs=3,"
Master's degree in Engineering, Computer Science or related technical field, or equivalent experience
Experience with web technologies (e.g., JavaScript/TypeScript, NodeJS, React, Angular)

Interested in Machine Learning? As a Front End Engineering SDE on the AWS SageMaker Elastic Inference team, you’ll get to work on bringing UX experiences to ML model developers and operators to strategic and growing SageMaker services.

UX work includes working with these technologies:
1. SageMaker Management Console (https://console.aws.amazon.com/sagemaker): Expand Console support to develop unique experiences for SageMaker Elastic Inference. You work with SageMaker UX designers and deliver a console experience that enables customers to use the unique features of our services in conjunction with the larger end-to-end ML workflow of SageMaker.
2. Expand SageMaker Studio to develop unique experiences for Elastic Inference via Studio's AWS ML Notebook authoring and data scientist IDE experience. From a browser, Studio brings a scalable and collaborative data science workbench and sharable workspace in the cloud to SageMaker customers.

Key Responsibilities:

Work closely with senior engineers, UX designers, and product managers to develop friendly UI experiences.
Work closely with engineers to architect and develop the best technical design.
Develop/maintain operational rigor for the frontend of a fast-growing AWS service.
Collaborate with other SageMaker SDE's for Elastic Inference features that cut across SageMaker.
Engage with customers and other AWS partners.

You'll be well supported with by a group with deep technical chops, including multiple senior and principal engineers.

What is SageMaker Elastic Inference?
SageMaker Elastic Inference (part of AWS AI) aims to deliver the best price performance on SageMaker by combining hardware acceleration using Elastic Inference accelerators (https://aws.amazon.com/machine-learning/elastic-inference) with software acceleration using the Neo compiler (https://aws.amazon.com/sagemaker/neo/), and tuned model servers. We not only power the inference experience on SageMaker, but also maintain and contribute to multiple open source projects.

About Us
Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. Our senior members enjoy one-on-one mentoring and thorough, but kind, code reviews. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future.

Experience building tools for data scientists or developers.

Attuned design sense so can collaborate with UX designers and hold a high bar with service SDEs.
Experience with with CI/CD in a front end context.
Experience establishing and leveraging web analytics.
Machine learning knowledge and experience.
Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.
Ability to take a project from scoping requirements through actual launch of the project.
Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.
Deep hands-on technical expertise in full-stack development.

"
