JobTitle,CompanyName,CompanyLocation,CompanyRating,Salary,Date,Extract_Date,Content_url,Content_text
Senior Software Engineer - Computer Vision,Kitware,"Clifton Park, NY",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=09f515a2e683d716&fccid=ffd98152d5e973b6&vjs=3,"Team Description:
Our computer vision team is a leader in the creation of cutting-edge algorithms and software for automated image and video analysis. Our solutions embrace deep learning and add measurable value to government agencies, commercial organizations, and academic institutions worldwide. We understand the difficulties in extracting, interpreting, and utilizing information across images, video, metadata, and text, and we recognize the need for robust, affordable solutions. We seek to advance the fields of computer vision and deep learning through research and development and through collaborative projects that build on our open source software platform, the Kitware Image and Video Exploitation and Retrieval (KWIVER) toolkit.
About the Projects:
By joining our team, you will be contributing your C++ expertise in the areas of computer vision and/or machine learning to develop robust solutions for real-world problems. Our projects focus on areas such as 3D reconstruction, object detection, image manipulation detection, and motion pattern learning and anomaly detection. Kitware’s employees have unique opportunities to interact and collaborate directly with customers, visit interesting customer sites, and participate in live field tests and demonstrations. Research and Development Engineers at Kitware also have the opportunity to publish and maintain open source software packages.


In This Position You Will:
Design and implement large scale C++ software frameworks that enable cutting edge research algorithms to run optimally across diverse environments from embedded systems and mobile platforms to desktop applications to cloud infrastructure.
Take a leadership role in working with the community to maintain quality open source software on platforms such as Github and Gitlab.
Have opportunities to learn more about emerging topics in computer vision, machine learning, and artificial intelligence.
Required Qualifications:
Bachelor's degree in Computer Science with a minimum 5 years experience and/or a Masters degree in Computer Science or relevant subject matter and 3 year experience
Significant C++ experience
Experience integrating 3rd party libraries
Experience with distributed processing/computing
Experience designing and implementing complex software systems
Experience optimizing code
Leadership experience reviewing and overseeing other’s code development
Some experience in other programming languages, especially Python
Due to contractual restrictions, only candidates that are US Persons (citizens, permanent residents, asylees or refugees) will be considered for this position.
Preferred Qualifications:
Experience integrating other languages as necessary
Experience with GPU based development
Knowledge of Computer Vision applications
Knowledge of software development processes/environments including CMake/CDash, MS Visual Studio, gcc, make, and/or XCode
Ability to develop software for Unix, Linux, MacOS and/or Windows operating systems to large open-source projects and communities
Company Description
Kitware is a research and development software solutions provider with a mission to advance science, make a positive impact, and share our results all within a collaborative, employee-focused work environment that is friendly, fair, and flexible. Our work is improving healthcare outcomes, increasing national security, and advancing our national computing infrastructure. Our customers and collaborators include top universities from around the world, government organizations, national research labs, medical device manufacturers, car manufacturers, financial institutions and many others. Kitware is proud to be 100% employee owned, and Great Place to Work-Certified™.
Additional Information
Kitware is proud to be a 100% employee-owned company. Our team members enjoy a small company environment, flexibility in work assignments, and high levels of independence and responsibility. Besides a great work environment, our comprehensive benefits package includes a generous compensation plan, tuition reimbursement program, flexible working hours, six weeks paid time off, 401(k), health insurance, life insurance, short- and long-term disability insurance, bonus plan, and free coffee, drinks and snacks.
Kitware actively subscribes to a policy of equal employment opportunity. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, age, protected veteran status, uniformed service member status, or any other characteristics protected by applicable law.
To be in compliance with the requirements for federal government contractors, all Kitware new hires must be fully vaccinated against COVID-19 prior to their start date. Kitware will consider exceptions for religious and medical reasons, where appropriate. “Fully vaccinated” means you must have both doses of a 2-dose vaccine and two weeks have elapsed since the second dose, or have received 1 dose of a 1-dose vaccine and two weeks have elapsed since the dose. Proof of your vaccination status in the form of a copy of a CDC vaccine card, or notice of approval of a religious or medical exemption by Kitware human resources, must be submitted prior to your start date."
Senior Desktop Support Specialist,Apple Bank for Savings,"Scarsdale, NY 10583 (Greenville area)",3.7,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=11aa7d58917736e3&fccid=ff0d765994bbf834&vjs=3,"Senior Desktop Support Specialist
Scarsdale, NY

GENERAL DESCRIPTION

The Senior Desktop Support Specialist is responsible for providing day-to-day technical support to our internal customers as well as provide guidance and coaching to other members of the Service Desk team at Apple Bank. This position requires a highly motivated problem solver with excellent customer service skills and advanced desktop engineering skills and will be the lead on projects where technology will be used to create efficiencies and new service offerings. The candidate is responsible for installing, configuring, troubleshooting Microsoft Windows, notebook computers, peripherals, tablets, and other relevant technological items, including Audio/Visual equipment. They will report to the AVP, Technology Service Delivery Manager and will work closely with other members of the IT department to support all end users. In addition, they will need to provide IT support at branch locations.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Perform initial analysis of network issues, resolving/escalating as needed.
Provide Tier1 and Tier 2 infrastructure/desktop technical assistance, support and analysis for incoming requests through the bank's online service & request tracking system both remotely, over the phone and/or in-person; Triage, Resolution/Follow-Up with clear documentation of progress
Serve as lead on various projects and system implementations.
Document common issues/causes/solutions; policies and procedures; user-guide creation; FAQs and web-based guides.
Setup, maintain, diagnose and troubleshoot problems with Windows operating system and various software applications, file-sharing, printing, and imaging/cloning/system configurations.
Setup, maintain, diagnose and troubleshoot problems with mobile devices including (but not limited to): Apple iPads & iPhones and Android-based devices.
Create/Test/Deploy Images for cloning of various hardware platforms using industry-common tools and utilities.
Manage the deployment or reimage/refresh of hundreds of laptops and desktops; including safe backup and transfer of user data accordingly.
Oversee installation/configuration/troubleshooting of various printers, scanners, MFD's and other devices.
Maintain inventory of all technology assets.
Manage e-waste and safe disposal of technological items.
Investigate and test new tools, techniques, and software products; collaborate with other members of IT.
Identify current trends and common issues; suggest proactive solutions to potential issues.
Perform other duties as assigned.


Skills, Education and Experience

High-School Diploma or GED required.
Minimum 5-7 years of experience in setup, configuration, troubleshooting of desktop/notebook/mobile hardware and software (Windows/iOS/Android).
Knowledge on the use and configuration of Microsoft Office for PC.
Some knowledge of TCP/IP networking and related services (i.e. DNS, SMTP, DHCP, etc.) Active Directory user and group concepts, management, and administration.
Excellent verbal and written communication skills.
Ability to clearly communicate technical concepts to non-technical people.
Ability to work with other departments as needed to resolve issues.
Ability to recognize, analyze, and effectively solve problems in a timely and organized manner using industry best practices and procedures.
Ability to identify and escalate situations requiring urgent attention.
Able to move technological items weighing upwards of 50lbs.
Experience supporting a variety of Wi-Fi enabled devices.
Experience supporting A/V equipment is a plus, but not required.
Experience creating/maintaining system images for Windows.
Experience with full disk encryption software.
Experience in automation and scripting: PowerShell, VBScript, batch, etc., a plus but not required.
Maintain knowledge of the Information Technology industry to effectively address the ongoing demands for enhancements to existing network and services. This may include team or individual research and testing, reading, attending conferences.
Strong working knowledge of ServiceNow.


Apple Bank offers Medical/Dental, Vision, 401k and Tuition Reimbursement to full-time employees.

We are an equal opportunity employer and do not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, military and/or veteran status, or any other Federal or State legally-protected classes."
newIT Specialist,UFirst Federal Credit Union,"Plattsburgh, NY 12901",3.0,"$37,000 - $47,000 a year",Posted2 days ago,2021-12-04,https://www.indeed.com/company/UFirst-Federal-Credit-Union/jobs/IT-Specialist-a47c89bb770c2214?fccid=8952fb2cde08926b&vjs=3,"People-first attitude. Passion for service. Purposeful goals. If this sounds like you, then you’ve got the three P’s we’re looking for!Become a part of the UFirst team, a group of individuals working together with one goal in mind…to put our members and their financial well-being first. As an Information Technology (IT) Specialist, you’ll be challenged to ensure the smooth and effective operations of the credit union’s information and operating systems as well as providing support to our team members requesting technical assistance with hardware, software and communication programs.What You’ll Do:· Be a face for our brand by having a friendly disposition, positive attitude and of course, by wearing a smile!· Team Support. Help your fellow UFirst team members with end-user support for desktops, laptops, mobile devices and software.· Member Support. You may sometimes be called upon to provide technical support to users by researching and answering questions, troubleshooting problems. Listening is 100% of the job and crucial to any position here at the credit union. Our members need to know that they have our undivided attention, whether it be in person, over the phone or even through email or text.· Train UFirst team members to use standard PC-based office software by providing formal and/or one-on-one trainings as well as ensuring team members know how to care for and maintain their terminals, printers, PCs, etc.· Install, support and manage the PC and network hardware/software components; respond to and develop solutions for component failures and complex technical problems in all of these areas to deliver a sound and stable computing infrastructure.· Assist in the development of internal documentation of user and IT policies and procedures. Prepare and review all risk assessments, audits and disaster recovery testing.· Teamwork. When necessary, coordinate with project leaders and third-party vendors to test and implement new or enhanced products and services.· Ensure administrative control over the end-user hardware and software assets of UFirst Federal Credit Union, as well as related supplies and accessories, through maintenance of inventories, files, logs, etc.· Perform other job duties as assigned.Qualifications:· Communication. Outgoing, personable candidates. You must truly enjoy working with people.· Be able to handle multiple tasks and a busy environment.· Strong computer skills. Knowledge of various operating systems, IT equipment, word processing, spreadsheet, email, etc.· Networking experience required.· Ability to install, troubleshoot, and support personal computers, network and data communication software and hardware and be familiar with basic programming logic, processing concepts and terminology, and processing standards.· Education. You’ll need to learn our processes, systems, products, and services so you can properly diagnose problems and resolve issues. It’s what our members rely on us for, after all! Must be willing to attend in-house trainings, conferences, team meetings as needed.Who We Are:UFirst Federal Credit Union has a history (50 years to be exact!) of being there for you… people like you that is. We get that everyone is made up of different ways of thinking and different lifestyles. It’s why we take the time to build relationships with our members and help provide solutions that best fit their life. We truly want to see them reach their true financial potential and live their best life. And, we’re very community active as well and love to show our support through volunteerism, sponsorships and donations.What’s Great About Working for UFirst:· Competitive Pay· Low-cost medical, dental and vision benefit options. Employer-paid life and disability insurance.· 401(k) – UFirst FCU will match up to 5% after one year of employment· Paid time off for full and part-time employees· 10 paid Holidays· Paid Volunteer Opportunities and Community Activism· Anniversary and Birthday Float Time· Discount on loans and an Apparel and Health Equipment loan just for team members· Tuition reimbursement for Undergraduate program· Team Rewards & Recognition Program· We also enjoy spending time together at team get-togethers, our annual Holiday dinner, Team appreciation day, to name a few.UFirst Federal Credit Union is an Equal Opportunity Employer.Job Type: Full-timePay: $37,000.00 - $47,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountHealth insuranceLife insurancePaid time offProfessional development assistanceTuition reimbursementVision insuranceSchedule:Monday to FridayWeekend availabilityCOVID-19 considerations:To keep our employees safe we have installed plexiglass on our frontline and in offices with member contact. We also provide masks, gloves and hand sanitizer.Education:Associate (Preferred)Experience:Related: 2 years (Preferred)Work Location: One location"
newComputer Communications Technician,"City of Rochester, NY","Rochester, NY 14604 (Central Business District area)",None,"$53,386 - $70,874 a year",Posted1 day ago,2021-12-04,https://www.indeed.com/rc/clk?jk=54e7da56f51e4754&fccid=867b133c75ef1485&vjs=3,"Salary
$53,386.00 - $70,874.00 Annually
Location
NY 14604, NY
Job Type
Full-Time
Department
Rochester Public Library
Job Number
21FF044PLA21
Closing
12/6/2021 11:59 PM Eastern
DESCRIPTION
BENEFITS
General Description
This is a technical position with responsibility for creating and maintaining user access to automated networks including: telecommunications, library systems, and other specialized networks, and providing technical assistance as needed. General supervision is received from higher level personnel. Employees are on call seven days a week. Related work is performed as required.

This is a Competitive Class position. The individual selected to fill this vacancy will be given a provisional appointment and will be required to participate in the next Civil Service Examination for this title.

 A qualified applicant may be provisionally appointed and serve in the position until a Civil Service Examination is administered and an appropriate eligible list can be established to make a permanent appointment in accordance with the Civil Service Rule of Three. (See ""http://www.cityofrochester.gov/article.aspx?id=+91-XXXXXXXXXX"" Provisional Appointment - FAQ's) If you are already a City employee and have permanent, competitive status in your current position and appointment to this title would result in a provisional appointment in another department, you will lose your previous permanent competitive rights.

CITY RESIDENCY WILL BE REQUIRED WITHIN ONE YEAR OF HIRE.
Typical Work Activities
Provides technical assistance and responds to user questions about network and personal computer operations;
Creates user access to networks, establishes network security access based on predefined guidelines, and resolves basic connectivity problems;
Identifies, diagnoses and solves user network, telecommunications and other software and hardware problems, including production halts, printer problems and other network malfunctions; Refers problems or consults with contractors or vendors, as needed;
Staffs helpdesk and responds to user questions about network and other hardware and software systems;
Installs, configures and customizes a variety of network and other hardware and software systems, often at remote sites;
Establishes network security access based on predefined guidelines;
Manages, designs, and maintains website and intranet (RHA only);Maintains web filter and user profiles to monitor/limit web access (RHA only); Monitors and troubleshoots network, hardware, and phone line problems and notifies users of their status;
Evaluates networks and recommends improvements;
Tests or helps test hardware and software;
Researches and recommends new hardware and software;
Sets up, maintains and explains user accounts, such as e-mail;
Reads and understands manuals and technical materials;
Trains users and information systems staff on network access and personal computer software;
Keeps informed of new network trends, technologies and developments;
Monitors network performance and maintains records of system activities;
May write Requests for Proposals (RFPs) and contracts for services, negotiating the scope of the work and monitoring contractor work.
Minimum Qualifications
High school diploma or GED; AND
(A) Bachelor's or Associate's degree in Computer Science (or a closely related field) AND
two (2) years work experience supporting or maintaining computer systems, through troubleshooting user problems .OR
(B) Three (3) years of work experience as stated in (A).

SPECIAL REQUIREMENT:A valid New York State Class D driver's license is required at time of appointment. This license must be maintained throughout appointment to this title.
If appointed to Rochester Housing Authority - Possession of a Microsoft Network Administration Certificate within eighteen (18) months of appointment.
We offer a complete benefits package to full-time employees including health care, dental, vision, retirement, deferred compensation plans, flexible spending accounts, life insurance, long-term disability, holidays, vacation, and sick leave."
Software Engineers AND Team Leads (C/C++ OR Java) - NYC Area,"ZebraEdge, Inc.","New York, NY 11224 (Coney Island area)•Temporarily Remote",None,"$175,000 - $240,000 a year",EmployerActive 2 days ago,2021-12-04,"https://www.indeed.com/company/ZebraEdge,-Inc./jobs/Software-Engineer-Team-Lead-2697f0298c0b0f6e?fccid=dbc94f2a590bf4f6&vjs=3","A major AdTech Client HQ in NYC is looking for multiple Software Engineers and Team Leads in NYC area and other locations in the US.PLEASE SEND YOUR RESUME IN MS WORD FORMAT.Software Engineers (C/C++ OR Java)Qualifications8 - 10+ years of experience as a professional Software DeveloperPrevious experience providing technical oversight, feedback, guidance, and mentorship to a small team of developersExperience using either C, C++, or Java, with excellent and creative problem-solving abilitiesExperience building high performance, multi-threaded, distributed systems and applications, preferably in a Linux environmentExperience practicing advanced optimization techniquesExperience with real-time data processing engines, ultra-low-level, and low latency systems is preferredExcellent Computer Science fundamentals with regards to data structures, algorithms, time complexity, etc.Experience providing mentorship and guidance, including code reviews, training, and feedbackYou are passionate about enabling customer successNice Skills to Have: Experience with cloud computing technologies (Kubernetes, Azure)Experience with KafkaExperience with VerticaMore about you: You are focused on building high-quality, intuitive productsYou are passionate about learning and teachingYou love challenging yourself to constantly improve and sharing your knowledge to empower othersYou view processes as a means and not an end, preferring lean or automated approaches to ensure quality and productivityYou are not satisfied with the status quo and are always looking to improve how things are done and what is builtJob Type: Full-timePay: $175,000.00 - $240,000.00 per yearBenefits:401(k)Dental insuranceHealth insurancePaid time offParental leaveProfessional development assistanceVision insuranceSchedule:8 hour shiftSupplemental Pay:Bonus payCommission payCOVID-19 considerations:During covid, individuals can work remotely.Experience:professional Software Developer: 8 years (Preferred)C/C++ development: 8 years (Preferred)Java development: 8 years (Preferred)development in Linux environment: 8 years (Preferred)advanced optimization techniques: 5 years (Preferred)data structures, algorithms, time complexity: 5 years (Preferred)cloud computing technologies (Kubernetes, Azure): 5 years (Preferred)parallelism and concurrency: 5 years (Preferred)Work Location:One locationWork Remotely:Temporarily due to COVID-19Work Location: One location"
Regional IT Support Specialist,Nixon Peabody LLP,"New York, NY 10036 (Midtown area)",3.6,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/company/Nixon-Peabody-LLP/jobs/Regional-IT-Support-Specialist-350f6ed2512bfc2b?fccid=d024a84676c99def&vjs=3,"The Regional IT Support Specialist is responsible for providing hands-on technical assistance to attorneys and staff in the setup and support of the Firm’s information technology hardware and software applications. This position handles IT equipment configurations, set-up, and maintenance for personnel in their region.A career at Nixon Peabody is the opportunity to do work that matters. It’s the chance to use your knowledge to shape what’s ahead. To share, to innovate, to learn at a firm that taps the power of collective thinking.We’ve created a dynamic, energizing environment that promotes success for our clients and each other. We offer fast growth, connectedness and training in business as well as law. And our rigorous standards assure you are part of a diverse team of top talent at every turn.At Nixon Peabody, our priority is to attract, retain and promote talented individuals who have an array of racial, ethnic, social, economic, religious, professional, personal, and other backgrounds. Therefore, we encourage talented individuals with diverse backgrounds and experiences to apply.If you’re someone who’s looking toward the future, we’d love to hear from you.Location:  New York City, NYResponsibilities: Configure desktops, laptops, smartphones, telephones, multifunction printers per the standard configuration process as direct by the Regional Systems ManagerSupport users for all hardware, software and connectivity issues for both in-office and remote work environments.Accepts ownership and accountability for Service Desk call tickets assigned to him/her and team members by either the Regional Systems Manager or Service-Desk.Support and maintain day to day requests for office setups which include PC hardware and telephone equipment.Provide technical support for conference room meetings, including video/web conferencing, projection equipment and computer connectivity. Maintain video equipment for internal and external use.Contact and work with vendors to troubleshoot and resolve issues with smartphones, PCs, printers and AV equipment.Performs daily support activities in accordance with the Firm’s standard operating procedures.Participate in regularly scheduled team/project meetings.Maintain IT asset inventory.Perform other duties as assigned.Job Requirements: Bachelor's degree or equivalent experience in Information Technology preferred.3-5 years of previous experience in IT support role. Qualified candidates should have experience and be proficient with Microsoft Windows OS, Apple iOS, Microsoft Office application suite, as well as other legal industry technology, tools and applications. Proficiency in basic IT skills including Operating systems, hardware, networking, wireless and peripheral integration.Possess good organizational skills and a demonstrated ability to communicate on all levelsSkillful in investigating and analyzing problems, seeking clarification and support where needed, and reporting to supervisors when appropriateAbility to handle multiple assignments, including complex issues requiring collaborative efforts between users, support engineers, and vendors to ensure timely responses or resolutionsExcellent customer service skills to provide incredible support to all levels of the firmSelf-motivated and able to work independently with minimal supervisionAbility to build and maintain collaborative relationships with peers, work as a team player and to express ideas effectively to individuals and groupsAble to lift up to 40 lbs.Nixon Peabody LLP is an Equal Opportunity / Affirmative Action Employer: Disability / Female / Gender Identity / Minority / Sexual Orientation / Veteran.Job Type: Full-timeBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:Monday to FridayEducation:High school or equivalent (Preferred)Experience:Help desk: 1 year (Preferred)Windows: 1 year (Preferred)Work Location:One locationWork Remotely:NoWork Location: One location"
Technology Support Specialist,New Fortress Energy,"New York, NY",3.5,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=7c373411ef71509f&fccid=ced94c2be57b2133&vjs=3,"Who we are:

New Fortress Energy Inc. (NASDAQ:NFE) is one of the world's leading downstream natural gas-to-power companies with a $10+ billion market cap. We are a publicly traded, global energy infrastructure company, and a recognized leader in accelerating the world's transition to clean energy.

We develop, finance, and operate natural gas facilities, power plants and logistics solutions to rapidly deliver fully integrated, turnkey energy solutions to our customers. Our energy solutions spur economic growth, enhance environmental stewardship, and transform local industries and communities.

Our world-class team has expertise across power, infrastructure, transportation, logistics and LNG, and we have developed a proven track record building and operating liquefaction facilities, onshore and offshore regasification terminals, pipelines, power plants, and innovative LNG delivery solutions.

As part of our efforts to accelerate the transition to clean energy, we have also launched a cutting-edge initiative – which we call Zero – to replace natural gas with green hydrogen so that our energy solutions produce no carbon emissions within next 10 years.

We believe that everyone should have access to affordable, cleaner energy. However, billions of people around the planet still lack this critical element for quality of life and economic growth. We are driven by our vision of a world in which electricity is no longer a luxury good, and we are looking for talented, driven individuals to help us light the world with cleaner, more affordable energy solutions.

The role:

NFE is searching for a Technology Support Specialist that will be responsible for desktop and helpdesk support for employees in the Corporate office. This position will collaborate with other members of the IT team to resolve technical issues, onboard and offboard employees, manage client technology projects, install new hardware and software, and other duties as needed. This individual should have a people-first approach to technology support. The ideal candidate will be focused on continuous improvement, always trying to improve our processes and technologies with the goal of improving the employee experience through technology.

What you will do:

Provide desktop support for approximately 100 employees in Corporate office, including computer break/fix, password resets, application updates and installation, etc.
Image computers and maintain image repository for all standard computer models
Review and provide feedback for technical and soft-skill training
Work with other IT and line of business teams as needed to resolve technical issues
Act as a technical escalation point as required within the corporate office
Manage employee onboarding/offboarding, including IT equipment, systems access, and other IT services.
Test and resolve AV related equipment issues
Communicate with vendors regarding supported issues
Document all requests in IT ticketing system
Other duties as assigned

What you bring:

2+ years of Helpdesk/Desktop Support experience
Strong IT systems troubleshooting analysis abilities
Strong understanding of Microsoft Office Products, including Office 365
Must have excellent customer service, telephone and listening skills
Knowledge of commonly-used concepts, practices and procedures within the IT field
Take initiative, make good judgments, negotiate, problem-solve and demonstrate decision-making skills
Demonstrate a strong sense of urgency and ownership regarding solving issues
Demonstrate the ability to multi-task across several ongoing tasks of varying priority Ability to clearly communicate with both technical and non-technical personnel
Flexibility in schedule with the ability to work after hours including nights and weekends required

 What we offer

As an NFE employee, you'll enjoy unique benefits including a generous vacation policy; medical, dental, and vision coverage; a healthcare concierge; free short-term disability, long-term disability, and life insurance; a 401K plan; commuter benefits; team events; healthy snacks; and even an onsite gym.

Our commitment to diversity and inclusion

New Fortress Energy is an equal opportunity employer and promotes a diverse and inclusive workplace. NFE considers all applicants without regard to race, color, religion, creed, national origin, age, sex, marital status, ancestry, disability, veteran status, gender identity, genetic information, or sexual orientation or any other status protected by applicable law."
Desktop Support,BOSS Facility Services,"Hauppauge, NY 11788",4.2,$19 - $23 an hour,EmployerActive 8 days ago,2021-12-04,https://www.indeed.com/company/BOSS-Facility-Services/jobs/Desktop-Support-be0ff7799b77de67?fccid=d42077bacc628d47&vjs=3,Duties will include but not limited to:· Act as the initial point of contact for all internal computer and system related concerns from Management and employees.· Work with outsourced IT company on basic internal computer issues.· Set-up hardware for new hires and/or current employees.· Create training materials pertaining to computer troubleshooting and usage.Qualifications for Desktop Support Specialist· Time-management skills and the ability to establish reasonable and attainable deadlines for resolution· Experience working with different operating systems including Windows.· Ability to prioritize and manage projects efficiently.· Professional written and interpersonal skills are essential when communicating with Management and employees.· 1 to 3 years of experience installing and configuring computer systems and applications.Job Type: Full-timePay: $19.00 - $23.00 per hourBenefits:401(k)Dental insuranceFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offRetirement planVision insuranceSchedule:8 hour shiftMonday to FridayWork Location: One location
Tenure-Track Position in Computer Science 102221,New York University,"New York, NY 10012 (Greenwich Village area)",4.2,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=4105dbd85904ff59&fccid=8077183a161ef0fd&vjs=3,"New York University: NYU - NY: Courant Institute of Mathematical Sciences: Computer Science - NYU Courant Institute
Location
New York, NY
Open Date
Oct 18, 2021
Deadline
Mar 01, 2022 at 11:59 PM Eastern Time
Description
The Computer Science department expects to have several tenure-track faculty positions and invites candidates at all levels to apply. We are looking for candidates in all areas of Computer Science, in particular in AI, verification, systems, and theory. We encourage AI candidates to apply through our AI search apply.interfolio.com/96495
Faculty members are expected to be outstanding scholars and to participate in teaching at all levels from undergraduate to doctoral. New appointees will be offered competitive salaries and startup packages.
The department has 44 regular faculty members as well as clinical, research, adjunct, and visiting faculty members. The department's current research interests span algorithms, cryptography and theory, computational biology, distributed computing and networking, graphics, vision and multimedia, machine learning and data science, natural language processing, scientific computing, and verification, and programming languages.
Collaborative research with industry is facilitated by geographic proximity to computer science activities at Facebook, Google, DeepMind, Amazon, Microsoft Research, IBM, Bell Labs, AT&T Research, Flatiron Institute, and many other companies with research divisions in the NYC area.


Qualifications
A PhD in Computer Science or a related area is required. Successful candidates are expected to pursue an active research program and to contribute significantly to the teaching programs of the department.

Application Instructions
Applicants should submit a letter of interest /cover letter (please see instruction in the application), curriculum vita, a list of no more than 3 of your most significant publications, software, or other research products. Please also provide the names and contact information of at least three references via the contact reference required document in the application. All application materials should be uploaded through Interfolio via this link: apply.interfolio.com/97448
For full consideration we recommend that applicants apply by December 1, 2021, though we will continue to review applications past that date as needed."
"Software Engineer, Machine Learning",Instabase,New York State•Remote,None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=ec0758f2813dafc6&fccid=84c0b67f3d42d75f&vjs=3,"At Instabase, we're passionate about building software to advance the state of the art in computing. We've built a fearlessly experimental, customer-obsessed team who are making discoveries to fundamentally change how people build and consume business applications. Today, we're partnering with the world's leading companies to transform how they use data and technology. If these challenges excite you, we'd love to hear from you!
Our Engineering Team architects the underlying operating system, core services, platform infrastructure, dev toolkits, core algorithms, machine learning models, packaged end-user apps, and app store marketplace. Instabase engineers are excited to solve hard problems for complex organizations and are self-starters from day one.

What you will do:

Work on a small team of ML engineers to apply Machine Learning techniques to challenging real world problems such as
Image Processing / Computer Vision
OCR
Handwriting Recognition
Visual Extraction (checkboxes, signatures, radio button, etc.)
Object Detection
Table Detection
Document/Text Understanding
Extraction from Documents
Field Extraction from Document with Variable Structure (for example: paystubs, invoices, forms, etc.)
Information Retrieval from Documents with Natural Language
Finding relevant clause in legal contracts
Extracting data (for example: effective date, duration, payment terms, etc.) from legal contracts
Document Classification
Document Clustering

Working in this area require knowledge in one or more of the following:

MS in Computer Science, Engineering, Math, Science or related field. PhD preferred.
5+ years industry / academia experience
Proven tTrack record of excellence in applying Machine Learning techniques for solving difficult real world problems
Knowledge of deep learning frameworks such as PyTorch and TensorFlow, computer vision, NLP, or related areas would be a plus.

Instabase is an equal opportunity employer and values diversity in all forms. Instabase does not discriminate on the basis of race, religion, color, national origin, gender identity, sexual orientation, age, marital status, protected veteran status, disability, or any other unlawful factor. Instabase also complies with local laws, including the San Francisco Fair Chance Ordinance."
