JobTitle,CompanyName,CompanyLocation,CompanyRating,Salary,Date,Extract_Date,Content_url,Content_text
"Engineer, Software Full Stack",T-Mobile,"Seattle, WA 98103 (Fremont area)",3.8,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=2f9dac2304d41317&fccid=d124dbfd3785b597&vjs=3,"Engineer, Software Full Stack
At least 18 years of age
Legally authorized to work in the United States
High School Diploma or GED
T-Mobile requires all employees in this position to be fully vaccinated for COVID-19 prior to starting work. The CDC defines ""fully vaccinated"" as two weeks after the second dose for Pfizer and Moderna, and two weeks after the single dose of Johnson & Johnson. T-Mobile will require proof of vaccination and consider requests for exemption from this requirement during the offer phase as a reasonable accommodation for medical reasons or sincerely held religious beliefs where the accommodation would not cause T-Mobile undue hardship or pose a direct threat to the health and safety of others.
Bachelor's degree in Computer Science or Engineering required
2+ Years Technical engineering experience
Focus: Able to communicate goals in support of the business' mission.
Drive: Self-motivated and able to work well under pressure.
Collaboration: Ability and desire to work in coordination with team members.
Communication: Ensure that information is passed on to others who should be kept informed. Express self clearly in conversations and interactions. Clear business and technical writing skills.
Customer Dedication: Demonstrate concern and meet external and/or internal customers’ needs.
Analytical: Tackle a problem by using a logical, systematic, sequential approach.
Technical Expertise: The ability to demonstrate depth of knowledge and skill in a technical area.
Travel requirements
May require up to 20% of domestic overnight travel within the region, and occasional trips to the Bellevue Headquarters.
Okay. You've seen what we're looking for and you're up to the challenge. Here's what we can offer you in exchange for your outstanding work:
Competitive base pay plus annual bonus potential
Benefits for part-time and full-time associates
Medical, dental and vision benefits
Matching 401(k)
An annual Employee Stock Grant, and a purchase plan that gives you the chance to grab TMUS stock at a discount
Generous paid time-off programs
Phone service discounts
Education reimbursement
Serious growth potential for your career!
This is the opportunity to do something special and be part of a company revolutionizing the wireless industry. And we couldn’t do it without someone like you. So, what do you say? Isn’t it time you explored what could become the career move of a lifetime? We invite you to apply today!
Technical System Expertise: Understands system protocols, how systems operate and data flows. Aware of current technology benefits. Expected to independently develop a full software stack. Understands the building blocks, interactions, dependencies, and tools required to complete software and automation work. Independent study of current technology is expected. Interact with system engineers to define system requirement and/or necessary requirements for automation.
Technical Engineering Services: Supports engineering projects by developing software solutions; conducting tests and inspections; preparing reports and calculations. Expected to supervise associate engineers on occasion.
Innovation: Presents new ideas which improve an existing system/process/service. Presents new ideas which utilize new frameworks to improve an existing system/process/service. Express new perspectives based on independent study of the industry. Review current company processes to highlight questions that may drive process refinement.
Technical Writing: Maintains knowledge of existing technology documents. Writes basic documentation on how technology works. Contributes clear documentation for new code and systems used. Documenting systems designs, presentations, and business requirements for consumption at the engineer level.
Technical Leadership: Collaborates with technical teams and utilizes system expertise to deliver technical solutions.
Continuously learns new technologies.
Technology Strategy: Understands current technology that supports business goals.
Supports team initiatives and creates an inclusive environment
Equal Employment Opportunity

We take equal opportunity seriously—by choice.

T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, religious affiliation, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination, retaliation or harassment based upon any of these factors is wholly inconsistent with how we do business and will not be tolerated."
Frontend Software Engineer,ANDURIL INDUSTRIES,"Seattle, WA+1 location",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=96f4bc247ed4337a&fccid=3f7b0eacc8de6549&vjs=3,"Anduril is a defense technology company, bringing Silicon Valley talent and funding to the defense sector. Our technology helps our customers solve their toughest challenges by enabling them to make better, more informed decisions in life-and-death situations. We’ve assembled a diverse team of experts in artificial intelligence, computer vision, sensor fusion, optics, and data analysis that are creating software and hardware solutions to radically evolve the capabilities of the United States and our allies. If you are passionate about solving problems that have real impact, come join Anduril and build the future of defense.
We are looking for Frontend Software Engineers to join our team. As a Frontend Software Engineer at Anduril you will be architecting and building out our front end features and tooling, deploying them to users, and making sure they're meeting users' requirements. You will be working alongside a team of engineers with diverse backgrounds.

As an early member of the team, your decisions today will have a large impact on the company today and into the future. We believe that simple systems are easier to understand, maintain, and scale. You will be making trade-offs as you work to ensure that our systems are prepared to scale — being able to effectively communicate these trade-offs with your teammates is a must.
The ideal candidate has curiosity and experience in backend systems as well so that you can understand and contribute to it in support of your frontend responsibilities.
WHAT YOU'LL DO
Design, build, and deploy a real-time, map-based interface for displaying and interacting with sensor data and commanding physical assets
Fetch and manage large streams of data while maintaining performant rendering in a low-friction user experience
Build and design immersive image-viewing experiences on multiple platforms, including web-based and mobile 3D image viewing as well as integrated VR experiences
Work with technologies like: Typescript, React/Redux for web front end, React Native, Android Java and Swift for mobile applications, C++, Go, and Haskell for backend systems, Github, & Docker
REQUIRED QUALIFICATIONS
Degree in Computer Science, Operations Research, Electrical Engineering or related technical degree
Experience working on frontend applications, especially data-intensive or map-based systems
Proficiency with a programming language such as Javascript, Typescript, or Java
Ability to empathize with end-users, to turn needs into features, and to balance user experience with engineering constraints
U.S. Person status may be required as this position needs to access export controlled data.
PREFERRED QUALIFICATIONS
We encourage people from all backgrounds go apply but our tech stack uses AWS, C++, Go, Typescript, and React so familiarity with all of these tools and languages would be useful
Previous experience working with the DoD
Startup experience
3D mapping experience
Anduril is an equal-opportunity employer, and we encourage candidates from all backgrounds to apply. If you are someone passionate to work on problems that matter, we’d love to hear from you!
In accordance with requirements on Anduril as a federal contractor under Executive Order 14042, new employees will be required to provide proof of vaccination or exempt status prior to starting employment."
Senior Software Engineer,AppHarvest,"Seattle, WA",3.1,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=92e2a1986476b893&fccid=98f965e6471c6cde&vjs=3,"About the Role:

As a Senior Software Engineer at AppHarvest, you will join a team at the forefront of sustainable agriculture by helping architect and build new, innovative solutions to expand our product capabilities. You will work closely with our Technology team, Greenhouse Operations, vendors, and customers to build and optimize products as well as advise on opportunities to work with external partners to grow the value of our technology echo system.

What You'll Do:

Lead the organization through the creation of our next generation platform architecture
Hands-on contributions in designing, building, reviewing, testing, debugging, configuring, integrating, monitoring, documenting, and maintaining - high performance, flexible, and highly scalable microservices and integration pipelines that make up our platform
Review code to ensure that technical implementation meets functional requirements
Collaborate with all the AppHarvest Technology teams to ensure systems are performant, scalable, resilient, and available
Promote best practices for development, deployment, and quality life cycles
Guide the growth & development of engineers with mentoring and training

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. AppHarvest reserves the right to change duties, responsibilities and activities at any time with or without notice.

What We're Looking For:

Strong passion for AppHarvest's core values and mission to disrupt the global food industry
Bachelor's degree in Engineering, Computer Science, or Technology; MBA or master's preferred
7+ years of software engineering experience preferably in the cloud, with a proven track record of leading large-scale projects
Experience building web services, distributed systems, and service-oriented architecture
Object-oriented design & programming experience in languages such as Java, C++, or C#
Experience with the full software development lifecycle for a large-scale software product
Passion to solve complex problems and to build great software
Experience of integrating with third party products and applications
A ""figure it out"" mentality and challenge any notion that ""this can't be done""
Clear, concise, and thorough written and oral communication skills

 Benefits:

100% company paid insurance premiums (Medical, Dental and Vision Plans)
401K Company Match 100% of First 3%- 50% of next 2% and is vested immediately – it is automatically yours
10 company paid holidays
Generous PTO Packages starting at 15 PTO days
2 Paid Mission Days for volunteer work
Company provided uniforms and shoes (for Greenhouse Employees)

#BI-Remote"
Principal Tech Program Manager - Computer Vision AI,"Amazon Dev Center U.S., Inc.","Bellevue, WA+6 locations",3.5,None,Posted25 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=426ef91a33cabdcf&fccid=fe2d21eef233e94a&vjs=3,"
Experience managing projects across cross functional teams, building sustainable processes and coordinating release schedules
10+ years of relevant engineering experience
7+ years of technical program management experience
Bachelor's Degree in Computer Science or a related field, or equivalent experience

AWS CV (Computer Vision) Rekognition team (https://aws.amazon.com/rekognition/) is looking for an experienced Principal Technical Program Manager (TPM) to lead innovative cross organizational initiatives with direct impact to a large number of customers.

Amazon Rekognition is a deep learning powered processing engine which offers pre-trained and customizable computer vision (CV) capabilities to extract information and insights from images and videos. We cater to multiple products and business verticals and serve enterprise customers at scale. You will manage and be responsible for delivering some of our most strategic technical projects, working closely with functional experts (product managers, scientists, principal engineers, data experts etc.). from multiple teams in the AWS AI/ML organization.

You will be responsible for scoping and delivering large projects end-to-end across AWS AI/ML organization. You will collect business and system requirements, create project plans, manage risk and program execution, and oversee production launches. In the process, you will work closely with data, science and engineering teams to invent on multiple dimensions ranging from data processing at scale, to model development and building large-scale distributed systems.

A successful candidate will bring deep technical expertise, strong business acumen, ability to deliver through a high-performing team of individuals, and would be passionate about creating an industry wide impact.

Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future.

A day in the life

About the hiring group

Job responsibilities


Background in machine learning / computer vision
Excellent verbal and written communication skills
Experience managing programs with geographically dispersed teams
Experience with working on AWS services (S3, DynamoDB, EC2)
Experience building scalable infrastructure software for commercial online services

"
Senior Electrical Engineer,Microsoft,"Redmond, WA 98052 (Overlake area)",4.2,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=3da4ea6bda121ee3&fccid=734cb5a01ee60f80&vjs=3,"Are you passionate about building cool devices and technologies? The Surface Team focuses on building devices that fully express the Windows vision. A fundamental part of our strategy is having desirable and powerful devices that enable the experiences people want to elicit their excitement. Creating these devices involves a close partnership between hardware and software engineers, designers, and manufacturing. We are currently building the next generation and Surface needs you!
We work with the most cutting-edge hardware, including high density FPGAs. Our solutions allow collaboration in the modern workplace and platforms for new software and services innovation.
Responsibilities
We're looking for a motivated hardware engineer to be a part of our large screen devices team working on FPGA and board level designs. Day to day tasks for this may include writing RTL in Verilog, synthesis and compiling for FPGAs along with timing analysis and debug of logic and integration interfaces such as PCIe, USB, HDMI, DP.
You'll need to be comfortable working in Verilog and have a solid grasp of high-speed digital logic and system design fundamentals.
Responsibilities
Hardware design on FPGAs in Verilog or VHDL.
Using FPGA vendor tools to perform in-hardware troubleshooting, analysis of timing, and other tasks.
Some software development in C/C++, Python, or other languages, as needed to facilitate FPGA test harness and hardware validation.
Qualifications
Required Qualifications
B.S. or higher in Electrical Engineering, Computer Engineering, Computer Science, or related fields
5+ years of experience working on computer hardware devices
3+ years’ experience in Verilog or VHDL; must be able to demonstrate in an interview your ability to turn a design or algorithm into synthesizable HDL
Familiar with at least one FPGA vendor (Altera/Intel, Xilinx) toolset, and understand the building blocks and design flow on an FPGA.
Solid understanding of digital design fundamentals
Competent in one or more programming or scripting languages
Preferred Qualifications
3+ years’ experience with FPGAs and related FPGA vendor tools (Altera/Intel, Xilinx)
Strong intellectual curiosity and passion about learning new technologies
Strong communication skills and the desire to collaborate in a team of engineers
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software Engineer II,Technical Systems Inc,"Lynnwood, WA",None,"From $90,000 a year",EmployerActive 4 days ago,2021-12-04,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAne4XSxogK5LWze4bJhFcArov3gGigj4ATQl1LZZiwn_BsYYLxwK3l2C4GlF-Q5JpM_Y9JQbbwIuJyRJP0kv5__W7KfbZqryJT-bgioDzk6Fs01hAsjFH-IuwJW-9eTvdwAsnwb0knSQiWxMdIITAbcxEbZ78T2Y1fPS7ELJxZnLub8xK9_ss74jmliDPLtPa59JJ5BSV5hivPYm55oxovCRt1JzBdO36ArLHpIO6h80E0OJXhk2a0LsCLdPFILVe0eHGBndWTn56a4hUqwcowINlDhB5t5SgmRimbdbF1qnAFbO7ZEnUFq3YCW2S2tAKXEiEhBot3tFpZ8M3jDilqog1ZlYFHh-9IdAsQRDuPNi_6xrvJQzfLY7w8xk7t_3Ih7EubV0ve30VCwYnLb-1ADgQANb6wBgVd_ZGTVeEumimPQlZeIjaHzqY6iczMFZEygw8uwrs8iMSasgcxLxwJeftJ1Q4UHgU5IkHdqkmZQ==&p=5&fvj=1&vjs=3,"Company OverviewTechnical Systems Inc. (TSI) is a highly regarded full-service control systems integration firm providing the highest quality control systems engineering and integration services to the Water and Wastewater industry since 1970. As an employee-owned company, we understand the value of our employees and we strive to create a dynamic, hardworking, team-oriented environment and encourage development and growth of our employees.Company Mission: To provide our clients with economical and sustainable solutions through world class integration. TSI values the importance of relationships and will be ethical with our employees, clients, vendors, and partners.Role Summary: The basic function of a Software Engineer is to complete industrial programming projects by configuring and commissioning PLC, SCADA, HMI, and networking equipment that needs custom software configuration.Job Function· Engineer, program, startup, and commission Programmable Logic Controllers (PLC), Process Instrumentation, Human Machine Interfaces (HMI), Supervisory Control and Data Acquisition systems (SCADA), Telemetry Systems, and Industrial Networks for systems controlling a wide variety of industrial applications including; water and wastewater plants, fish hatcheries, public transit systems, and power plants.· Create, maintain, and ensure accuracy and completeness of technical project documentation and configuration, testing, training documentation, and field startup documentation.· Maintain safe and clean working environment by complying with company policies, procedures, rules, and regulations and project a positive company image.· Be aware of the project budget and work within budget constraints for material and labor budgets.· Communicate with Project Managers when projects will be affected by actions taken by the software engineer.QualificationsRequired: · Three or more years’ of experience programming, installing, commissioning, and troubleshooting industrial controls systems to include PLCs, OIT/HMI’s, VFD’s, and industrial networks (specifically Ethernet, ControlNet, DeviceNet, Profibus and Modbus/Modbus+).· Ability to plan, implement and document structured programming· Knowledge of process instrumentation, control theory and various types of control systems, data acquisition, and industrial data communication coupled with experience working with industrial process controls, IT / networking processes and general analog and digital electronics· Excellent interpersonal, communication skills and teamwork skills· Ability to work independently without close supervisionPreferred: · Bachelor’s Degree in Electrical, Computer Science, Chemical, or Industrial Engineering or 5+ years of related experience.· Working knowledge with control system troubleshooting and tuning skills, experience with Ladder Logic and IEC programming of PLCs (Programmable Logic Controllers), and knowledge of Process Control.· Experience with iFix, Wonderware, FactoryTalk View, Siemens, Allen-Bradley RSLogix and Modicon Unity PLC hardware is.Job Type: Full-timePay: From $90,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveProfessional development assistanceReferral programVision insuranceSchedule:8 hour shiftMonday to FridayOvertimeEducation:Associate (Required)Experience:PLC, SCADA, DCS, or OIT: 2 years (Required)Willingness to travel:25% (Required)Work Location: Multiple Locations"
"newMachine Learning Infrastructure Engineer, Perception, 1+ Yea...",Snapchat,"Seattle, WA+1 location",3.5,None,Posted1 day ago,2021-12-04,https://www.indeed.com/rc/clk?jk=6aa6c25eed4f1f1b&fccid=f368300325e8e8bc&vjs=3,"Snapchat is a camera and messaging app that connects people to their friends and the world. Every day around the globe, millions of people use Snapchat to communicate with friends, build relationships, play, and learn. No matter where you are or how you express yourself, it’s always the fastest way to share a moment!
Our Perception team builds the technology that enables Snapchat’s camera to intelligently understand the world around us. This team is composed of innovative product thinkers, engineers, and scientists who work together to bring captivating Snapchat experiences to life — all powered by artificial intelligence.
We're looking for a Machine Learning Infrastructure Engineer to join the Perception team!
What you’ll do:
Leverage machine learning, information retrieval and big data processing technologies to empower web scale image search and recommendation experiences
Combine strong software engineering principles with machine learning to build scalable, reproducible and easy-to-use end-to-end machine learning workflows for advanced deep learning and computer vision problems
Create comprehensive data management systems for scalable data collection, labeling, processing, and evaluation
Build backend infrastructure to perform scalable training, evaluation, and inference in the cloud and client-side infrastructure to perform efficient inference on mobile devices
Work across teams to understand product requirements, evaluate trade-offs, and deliver the solutions needed to build innovative products
Knowledge, Skills & Abilities:
Knowledge of GPU programming such as OpenCL or CUDA
Excellent C/C++ programming and software design skills, including debugging, performance analysis, and test design
Proven track record of operating highly-available systems at significant scale
Ability to collaborate and work well with others
Ability to proactively learn new concepts and apply them at work
Minimum Qualifications:
BS/BA degree in a technical field such as computer science or equivalent years of experience
1+ years of industry engineering or research and development experience
Experience with Golang, Python, or C++
Preferred Qualifications:
Masters/PhD in a technical field such as computer science
Experience building large scale production machine learning systems or data pipelines
Experience with TensorFlow, PyTorch, or related deep learning frameworks
Experience with Docker, Kubernetes, Istio/Envoy, NoSQL solutions, Memcache/Redis, Google/AWS services
Experienced in MLOps: managing production machine learning lifecycle
Experience working with vector similarity search, recommendation, ranking, or machine learning systems
At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com.
Our Benefits : Snap Inc. is its own community, so we’ve got your back! We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms. Our benefits are built around your needs and include paid maternity & paternity leave, comprehensive medical coverage, emotional and mental health support programs, and compensation packages that let you share in Snap’s long-term success!"
Support Engineer,Phantom Auto,"Seattle, WA",None,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=73b8223d226519de&fccid=b8fe151ad82d47fe&vjs=3,"Description:
Founded in 2017, Phantom Auto is the only company capable of remotely monitoring, guiding, and driving vehicles from thousands of miles away. Our technology is like Zoom for the physical world, and our customers are bestowing that same remote work privilege on their employees that formerly had to be physically inside vehicles to operate them.
We are an energetic and passionate team on a mission to build the future of remote operation.
At Phantom, every day is a unique adventure as we work with the world’s leading automation companies. Because we work with companies all around the world, we have the unique opportunity to work with many incredible vehicles and use cases.
As an early team member, you will be instrumental in defining the foundations of our product and culture.
If you are determined to take on the world’s most complex challenges and help build an industry-defining company, this is the opportunity for you.
As the Support Engineer, you'll serve our customers by resolving issues and providing our engineering teams with critical insight and collected data. You are heavily involved in ongoing support and you represent our customer internally.

Responsibilities
Communicate with clients to determine needs and explain complex issues
Conduct research and studies on site
Manage field activities and implement engineering changes
Collaborate with internal sales and engineering teams to maximize our provided value to our customers
Diagnose software or hardware problems and track quality occurrences
Resolve malfunctions or other crises when they arise
Conduct repairs and technical improvements
Install new systems and technology
Inspect and test systems and vehicles for safety
Ensure proper maintenance of onsite equipment
Draft and submit customer facing reports
Requirements:
Previous experience deploying, troubleshooting, servicing and repairing equipment and systems
Well-versed in technical aspects of both software and hardware systems
Experience with one of C/C++, Python, or Javascript
Understanding of networking activities and protocols
Windows and Linux exposure
Understanding of safety guidelines
Attention to detail
Outstanding communication skills
An analytical mind and strong problem-solving ability
Ability to work occasional overtime and weekends
Degree in Engineering, Computer Science or relevant field experience (minimum 2 years)
Willingness to travel up to 50% of time.
Benefits:
Work-from-home (WFH) flexibility, depending on projects and priorities
401K plan
Employer-covered 99.9% of health premiums, free dental & vision
Early-stage equity"
Acoustic Systems Engineer,Loud Audio LLC,"Bothell, WA 98011",None,None,Posted21 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=ea7f6a9f23774b2e&fccid=88150c95eeb118ef&vjs=3,"Description:

The Acoustic Systems Engineer is responsible for the acoustic design and architecture of new loudspeaker systems, working with transducer vendors to select and source transducers for new designs, voicing and tuning new products for optimal performance and researching new technologies. A clear understanding of loudspeaker technologies and their application is required.
. Requirements:

Essential Functions/Major Responsibilities:
Owns the acoustic design and development of loudspeaker products with a focus on the overall system; designs/selects transducers, horns and other acoustic components and works with mechanical, electrical and firmware teams to ensure the mechanical, electronics and signal processing designs meet acoustic system requirements.
Collaborate with other engineering groups to research new loudspeaker, amplifier, and/or digital signal processing technologies
Translate product requirements into a detailed acoustic specifications and design that meets or exceeds requirements
Consult with engineers and product managers during development of new product requirements
Design, troubleshoot and validate technical designs
Prepare specifications for purchases of acoustic components, materials, or equipment
Assemble and disassemble prototype loudspeaker systems
Ability to work collaboratively with a distributed engineering and manufacturing support teams worldwide
Demonstrate ownership in the shared success of the organization
Take on other duties as assigned
Competencies and Skills:
Initiative
Reliability
Excellent written and oral communication skills
Ability to work independently
Ability to perform to deadlines and project schedules
Position:
The Acoustic Engineer responsibilities include ownership of product level acoustic design in collaboration with engineering disciplines and engineering management. Accountable for ensuring acoustic design meets BOM budget goals and product performance requirements.
Education and/or Experience:
BS in Acoustic, Mechanical or Electrical Engineering with 1-5 years of professional acoustics experience
Advanced knowledge of professional loudspeaker system operation and design
Advanced analysis and reporting and a passion for the audio industry.
Supervisory Responsibility:
None
Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. While performing the duties of this job, the employee works in a typical office environment with moderate noise levels. The workspace may be open, informal and communal in nature with the accompanying distractions of co-worker traffic and employee conversations.
Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Regularly required to sit for long periods of time.
Independent body mobility to access a standard office environment with shelves and drawers of varying heights.
Vision sufficient to read a computer screen, 12 point and finer printed text, and handwritten documents.
Manual dexterity to operate a computer keyboard on a daily basis.
Speak and hear sufficiently to communicate clearly in person, over the telephone, and in small groups.
Mental stamina for problem solving and dealing with stressful situations; prioritizing multiple tasks; interpret and apply oral/written instructions.
Regular office hours with occasional work during non-business hours as required.
Occasional domestic and international travel required.
Exposure to high-levels of music and/or other audio signals for which hearing protection may be required.
Ability to lift up to 50lbs and ability to work standing for extended periods of time.
LOUD Audio believes that each employee makes a significant contribution to the company success. That contribution should not be limited by the assigned responsibilities. Therefore, this position description is designed to outline primary duties, qualifications and job scope, but not limit the incumbent nor the organization to just the work identified. Duties, responsibilities and activities may change at any time with or without notice. It is our expectation that each employee will offer his/her services wherever and whenever necessary to ensure the success of our endeavors."
newQA Engineer,Mobile Integration Workgroup,"Redmond, WA 98052 (Downtown area)•Remote",3.4,None,Posted1 day ago,2021-12-04,https://www.indeed.com/rc/clk?jk=51e90f6df08d873f&fccid=cd9c9c81920f25ef&vjs=3,"Job Description:
We are looking for a QA Engineer to assess MCellBlock and its Test Script quality through manual and automated testing. You will be responsible for finding and reporting bugs and glitches from various test efforts throughout our agile software development cycles.

In this role, you should have a keen eye for detail and excellent communication skills. If you are also competent in executing test cases and are passionate about quality, we’d like to meet you.
Ultimately, you will ensure that our MCellBlock systems, applications, services and test scripts work correctly meeting all our quality standards.

Who you are:
You have a good understanding of web and mobile technologies and can test large, complex consumer-facing web and mobile applications.
You have an obsessive drive towards quality and have strategies to achieve it.
You are a detective. You know how to gather the information, analyze the clues, and provide a solid statement of the defect.
You have various QA tools in your belt, and you know when and where to use them.
You have experience executing test automation scripts and reading the output (raw logs, reports, etc).
You care! This isn’t just a job, you strive to make life better for you and your teammates through improvements to the quality assurance processes.
You are looking for an opportunity to make a lasting impact! We are on a mission and want you to help us to deliver quality products.
You enjoy working with brilliant people. We have assembled a team of the top engineers who you will be working with, and learning from on a daily basis.
Responsibilities:
Execute test cases (manual or automated) and analyze results.
Collaborate with team members to develop effective test cases and test plans for web and mobile applications.
Assist in requirement testability validation
Create and update logs to document testing phases and defects.
Create defect reports that are helpful - clear, precise, and include necessary additional information and all relevant test artifacts collected from testing.
Help troubleshoot issues reported from QA testing or customers.
Conduct post-release/ post-implementation testing.
Work with cross-functional teams to ensure quality throughout the software development life cycle.
Participate in Sprint Planning and design discussions with the development team to ensure features are designed and implemented meeting testability requirements.
Understands how products should function, how product function matches the desired user experience design, and is an advocate for the end-users in the engineering process.
Has a clear vision of optimal testing strategies and how they should be implemented and executed.
Location:
The team is based on the West Coast of North America and can perform its duties remotely. However, all potential employees need to be located within the Western U.S. or Canada.

Basic Qualifications:
5+ years of experience as a Software QA Test Engineer.
Expertise in QA methodology.
Good understanding of Agile test methodologies and best practices.
Excellent in design and writing precise and maintainable test cases.
Ability to document and troubleshoot defects found in software testing.
Working knowledge of test management software (e.g. Jira, Eclipse, TestRail, Confluence, etc.).
Excellent communication skills.
Attention to detail.
Analytical mind and problem-solving aptitude.
Strong organizational skills.
Job Requirements:
Preferred Qualifications:
Experience working in a remote testing role.
Experienced in web and mobile device testing (iOS and Android).
Strong knowledge of QA methodology and tools, with demonstrated experience in test automation.
Experienced in end-to-end application to device layer testing which includes UI, interfaces, back-end, and hardware layers.
Deal well with ambiguous/undefined problems; ability to think abstractly.
BS/BA in Computer Science, Engineering, or a related field.

About Mobile Integration Workgroup:

We have dynamically solved technological and operational challenges for clients ranging from small business to Fortune 100 companies. Our unique offerings enable you to identify and creatively solve your mission-critical business issues, increase workforce flexibility, strengthen customer service offerings and strengthen your technology infrastructure. Our primary areas of specialization involve: Talent Acquisition & Placement, Managed Services & Strategic Consulting, and Telecommunications including wireless & mobile."
