JobTitle,CompanyName,CompanyLocation,CompanyRating,Salary,Date,Extract_Date,Content_url,Content_text
Senior Machine Learning Engineer,Quantcast,"Seattle, WA",3.4,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=f29936f6d7bc07e5&fccid=ae804d7135a7b480&vjs=3,"Quantcast is hiring a Senior Machine Learning Engineer to work on the Modeling team in our Seattle office.
As the real-time pulse of the Internet, Quantcast runs one of the world’s most substantial AI-driven insights and measurement platforms, directly quantifying over 100 million web destinations. Using machine learning to drive human knowledge, Quantcast provides brand marketers and publishers with meaningful audience insights, predictive targeting, and measurement solutions across the customer journey.
As a Sr Machine Learning Engineer, you will use our large datasets, computational power, and analytical tools to build diverse, high-quality products to support Quantcast’s position as a world-class leader in advertising. You will help lead our efforts in crafting, implementing, and operating large-scale machine learning systems in a production environment.
The Modeling team is developing groundbreaking platforms and algorithms to combine our vast first-party dataset with third-party data to provide the highest quality demographic and behavioral analysis of digital audiences on the market.
Responsibilities:
You will design, develop and operate statistical models and algorithms to deliver quality at scale
You will investigate modeling issues, identify fundamental causes, and design solutions
You will prototype solutions, conduct data analyses to tackle large-scale inference problems, improve existing insight products and introduce new products to delight our customers
You will work cross-functionally with other teams to develop methodologies in model building and validation
You will need to implement your model and supporting software with production quality standard
Qualifications:
3 + years w/M.S or 2+ years w/Ph.D. in computer science or a similar technical discipline
Fluency in Java, C++, Python, or similar object-oriented programming language
Strong analytical, planning, and social skills
Strong skills in data visualization and storytelling
Knowledge of distributed computing, MapReduce, or Spark is a plus
#LI-AC1
Quantcast is an advertising technology company and the creator of an innovative intelligent audience platform that empowers brands, agencies and publishers to know and grow their audiences online. Our solutions are leveling the playing field for our customers when it comes to effectively reaching audiences online and helping them power a thriving free and open internet for everyone. Founded in 2006 and headquartered in San Francisco, Quantcast has employees in 20 offices across 10 countries.
We are committed to building an inclusive and diverse environment where everyone can be their authentic self. We work to ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Recognizing the importance of flexible work environments, Quantcast has adopted a hybrid work model. The model gives employees the opportunity to work from home two days a week and work in the office for team collaboration for the remainder of the time. The effectiveness of the implementation may differ based on location or team, so please consult with your manager for further information. Through at least the end of 2021, we are providing additional flexibility, including relaxing the in-office schedule and offering flexibility around the number of days and which day one is required to be in the office. Hybrid employees can also work remotely for two weeks each year or apply for our fully-remote work program. To ensure the safety of everyone, all U.S. employees working from a Quantcast office or who meet clients are required to be vaccinated against COVID-19. Outside of the U.S., we encourage all employees to get vaccinated."
Research Scientist- Antigen Map,Adaptive Biotechnologies,"Seattle, WA 98102 (South Lake Union area)",4.1,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=f3327a6274e4ca36&fccid=7529eb48b00b1f71&vjs=3,"We are powering the age of immune medicine- you can too. At Adaptive, our goal is to meaningfully improve people's lives by learning from the wisdom of the adaptive immune system.

As an Adapter, you will be surrounded by driven colleagues who think boldly to pursue ground-breaking innovation. You will experience meaningful challenge in your work and be fueled by motivating energy knowing you make a difference in people's lives.

You belong here- come discover your story at Adaptive.
Position Overview

The Antigen Map Project is a partnership with Microsoft Healthcare initiative to map and decode the human immune system, nature's most finely tuned diagnostic. Together we are using immunosequencing, proprietary computational modeling, and machine learning to map T cell receptor (TCR) sequences to the antigens they bind. Using this data, we aim to translate the natural diagnostic capability of the immune system into the clinic.

The Antigen Map team is currently recruiting a research scientist to conduct research focused on improvement and implementation of our Antigen Map platform. The successful candidate will execute cellular assays, which identify antigen specificities for clinically-relevant TCR sequences, and perform downstream TCR sequence screening and characterization in support of diagnostic decisions for a variety of human diseases. This position will also contribute to technology development through exploration of new methods and optimization of existing protocols.

Key Responsibilities and Essential Functions

Design and execute experiments with general guidance or following established protocols
Culture and maintain isolated primary human T cell lines to support TCR-based diagnostic discovery
Assist in the execution and optimization of T cell stimulation assays
Coordinate equipment orders, calibration, and maintenance as needed.
Effectively work and communicate with group members and other groups in a dynamic and fast paced environment in order to accomplish goals
Analyze and report data to senior staff both informally and through formal reports and presentations

Position Requirements

Required

Bachelor's degree (or Master's degree) equivalent experience in Cell biology, Immunology, Genetics, Biochemistry, Bioengineering, or Molecular Biology.
Minimum of 5 years of experience (or 3 years with Master's degree) working in research operations, preferably in pharma or biotech.

Preferred

Broad expertise in primary cell culture techniques.
Proficiency in flow cytometry / fluorescence activated cell sorting.
Excellent verbal and written communication skills.
Proven ability to work independently, as well as to collaborate with peers.
Effective in a fast-paced team-oriented environment.
Strong organizational, time management, communication and interpersonal skills.

Working Conditions

Work will include handling of human biological specimens, including specimens of unknown or known positive infectious disease status (up to BSL-2).

Where permitted by applicable law, applicant must have received, or be willing to receive, a COVID-19 vaccine by date of hire to be considered for employment.

Adaptive Biotechnologies is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability. Equal Opportunity Employer/Veterans/Disabled

NOTE TO EMPLOYMENT AGENCIES: Adaptive Biotechnologies values our relationships with our Recruitment Partners and will only accept resumes from those partners whom have been contracted by a member of our Human Resources team to collaborate with us. Adaptive Biotechnologies is not responsible for any fees related to resumes that are unsolicited or are received by any employee of Adaptive Biotechnologies who is not a member of the Human Resources team."
Senior Business Intelligence Analyst,Convoy,"Seattle, WA 98101 (Downtown area)",3.7,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=f9372605b6df7e1a&fccid=4514e98bb41669d2&vjs=3,"Convoy is transforming the $800 billion trucking industry, where even 10 years ago, most truck drivers did not have smartphones and paper driver logs were common. In 2015, Convoy launched the digital freight movement with an open and fully connected marketplace for brands and manufacturers to work directly with freight carriers who move truckload shipments throughout the country. This ‘Digital Freight Network’ is powered by machine learning and automation, and supported by a broad, ever-growing set of features that benefit both sides of the marketplace.
We’ve been honored to work with some great companies, such as Unilever, The Home Depot, and Procter & Gamble. We’ve also been backed by world-class investors, including Google, YCombinator, Fidelity, Greylock Generation, Lone Pine, T. Rowe Price, Baillie Gifford and the founders and CEOs of Amazon, Salesforce, eBay, LinkedIn, Expedia, Dropbox, Starbucks, and others. We are proud to have been named a CNBC Disruptor 50 Winner (3x), a Fast Company World Changing Idea, a LinkedIn Top Startup, a Forbes' Best Startup Employer, one of Fortune Magazine's 'Impact 20' list, a best place to work in Washington State, a BloombergNEF Pioneer winner, and more.
This is your opportunity to collaborate with an incredible group of people and help transform the freight industry. Join Convoy and help us transport the world with endless capacity and zero waste.
About the team:
The Marketplace Growth organization is a centralized team that optimizes across supply, demand, and operations to achieve company financial and growth goals through Market Development, Portfolio Management, Pricing, and novel Growth Programs. This role will be part of the Portfolio Management team within Marketplace Growth. The Portfolio Management team continually assesses the forward-looking risk and opportunity of Convoy’s portfolio of freight across a range of market scenarios, and turns those assessments into actionable recommendations and policy.The team drives Convoy towards vertical shipment, margin, portfolio risk, and network goals in partnership with cross functional teams.
About you:
We are looking for a Business Intelligence Analyst to join Convoy’s Marketplace Growth Org, with a focus on supporting our Portfolio Management function. You will partner closely with Portfolio Managers to analyze actions, create transparency, and generate strategic recommendations.
At Convoy you will be expected to work autonomously and own your domain end-to-end. You will collaborate with Data Scientists, Account Managers, Marketing, Engineers, and Product and Program Managers across the company. You will be responsible for defining core business logic in our data warehouse, using data to develop insights, answering strategic product questions, developing scalable and robust data visualizations, and more.
You will:
Analyze actions and results stemming from portfolio actions to inform policy refinement
Create transparency and accountability across Convoy’s marketplace through visualization of metrics
Generate strategic recommendations, through dashboards, to maximize business outcomes and empower account managers to grow Convoy’s portfolio
We're looking for someone who has:
Bachelor's degree in a quantitative discipline, such as business, statistics, accounting, math, or economics.
2-4 years of experience in consulting, BI, strategy, or data analyst roles
Strong analytical skills - good at creating and analyzing business information, creating dashboards, creating and implementing key business metrics, experienced with data warehouse infrastructure and building BI tables.
Excellent skills in tools like SQL, Data Visualization, Excel or similar analytical tools.
Excellent verbal and written communication skills; ability to empathize with stakeholders and drive alignment across multiple teams.
Ability to break down high-level business problems into concrete analytical solutions
Nice to have skills:
Experience with scientific/statistical languages such as Python or R
Experience managing complex projects with an ability to prioritize workload and manage multiple projects simultaneously.
Benefits:
Employees' wellbeing is top of mind for the Convoy team. Outside of offering excellent medical, dental, and vision benefits, we also offer the following:
On demand mental and emotional health benefits through LyraOn demand primary care through 98.6Generous paid time offPaid parental leave programFertility benefit solutions via Progyny
Child-care and adult/elder-care options through Bright HorizonsOpportunity to join and contribute to one of our Employee Resource GroupsAbility to make a real world impact!
Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!"
Principal Software Engineer - AI and Machine Learning,Highspot,"Seattle, WA 98121 (Belltown area)",4.8,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=25fb12f1d5a0fe77&fccid=750b69ffccff1280&vjs=3,"About Highspot
Highspot helps sales teams improve customer conversations and achieve their revenue goals. From content optimization and performance analytics to in-context training, guided selling, and more, the Highspot platform delivers enterprise-ready features in a modern design that sales reps and marketers love. Using Highspot, marketing leaders have deep insights and analytics into the performance and influenced revenue of content, campaigns, and marketing assets. What makes the solution special? It’s loved by sales reps globally, and is the #1 rated sales enablement platform on G2 Crowd.
We are committed to diversity as both a moral and business imperative.
Highspot’s Science team is chartered with developing and using emerging technology, including artificial intelligence, to deliver maximum customer value. As a Principal Engineer you will work end-to-end to identify technical risks and opportunities, deeply understand the problem space, and then prototype, build, and ship working solutions. Some of the technologies we use include PyTorch, TensorFlow, Kubernetes, Kafka, Cassandra, Python, C++ and TypeScript.
What You'll Do
Develop new product features and functionality
Explore emerging technologies and their application to Highspot customers
Build, train and deploy machine learning models
Develop REST/gRPC APIs and web services
Develop highly available distributed services
Create architecture and design documents
Partner cross-functionally with engineering, UX and product management to create the best software possible
Write maintainable and testable code
Your Background
Proficiency in delivering large-scale, highly distributed systems that are designed to be resilient, and easily consumable from a wide array of frontend devices
Embraces the entrepreneurial spirit, priding yourself on getting things done with a high level of quality
Able to learn new technologies quickly and then put them into practice with high quality
Resilient in the face of uncertainty and excited by the unknown
Comfortable with modern open source technologies and tools
Background in artificial intelligence and machine learning a plus but not a requirement
B.S./M.S. in Computer Science or equivalent industry experience
Benefits
Comprehensive medical, dental, and vision benefits
401(k) Matching
Paid parental leave
Flexible work and vacation schedules
Discounted ClassPass membership
2 volunteer days per year
Transportation benefits
Competitive compensation and stock options
Fully-stocked kitchen
Annual company-wide events
Meaningfully contribute to a compelling vision!
Equal Opportunity Statement
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of age, ancestry, citizenship, color, ethnicity, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or invisible disability status, political affiliation, veteran status, race, religion, or sexual orientation."
Business Intelligence Engineer (All Levels),Convoy,"Seattle, WA 98101 (Downtown area)",3.7,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=feac144be689ac96&fccid=4514e98bb41669d2&vjs=3,"Convoy is transforming the $800 billion trucking industry, where even 10 years ago, most truck drivers did not have smartphones and paper driver logs were common. In 2015, Convoy launched the digital freight movement with an open and fully connected marketplace for brands and manufacturers to work directly with freight carriers who move truckload shipments throughout the country. This ‘Digital Freight Network’ is powered by machine learning and automation, and supported by a broad, ever-growing set of features that benefit both sides of the marketplace.
We’ve been honored to work with some great companies, such as Unilever, The Home Depot, and Procter & Gamble. We’ve also been backed by world-class investors, including Google, YCombinator, Fidelity, Greylock Generation, Lone Pine, T. Rowe Price, Baillie Gifford and the founders and CEOs of Amazon, Salesforce, eBay, LinkedIn, Expedia, Dropbox, Starbucks, and others. We are proud to have been named a CNBC Disruptor 50 Winner (3x), a Fast Company World Changing Idea, a LinkedIn Top Startup, a Forbes' Best Startup Employer, one of Fortune Magazine's 'Impact 20' list, a best place to work in Washington State, a BloombergNEF Pioneer winner, and more.
This is your opportunity to collaborate with an incredible group of people and help transform the freight industry. Join Convoy and help us transport the world with endless capacity and zero waste.
About you:
The Business Intelligence Engineer role will be responsible for creating the proper data modeling necessary to facilitate reporting, analytics, and predictive modeling for key stakeholders. If you enjoy working at the intersection of data science and data engineering and achieving highly impactful outcomes through cross-functional collaboration, this role is for you.
You will:
Understand data needs by interfacing with fellow data scientists and business partners.
Architect, build, and launch efficient & reliable new data models and pipelines in partnership with Data Engineering
Build out comprehensive metrics and dimensions to measure operational health and enable analysis and predictive modeling.
Design and develop dashboards to enable self-serve data consumption
Become a data expert in your business domain, develop deep understanding of how your data interacts with the rest of the business, and own data quality
Recognize and adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation.


We’re looking for someone who has:
2-7+ years of relevant work experience
Passion for high data quality and scaling/automating data science work
Demonstrated leadership in data warehousing concepts
Experience in schema design and dimensional data modeling
Strong skills in SQL and experience with ETL frameworks (i.e. Airflow, dbt).
Ability to perform basic statistical analysis to inform business decisions
Ability to turn complex problems into simple solutions
Proven ability to succeed in both collaborative and independent work environments
Track record of managing multiple projects simultaneously in a fast-paced environment
Ability to self-direct, multitask, and prioritize a constantly evolving workload.


Nice to haves:
Experience other data visualization tools (i.e. Tableau)
Proficient with Python or other relevant scripting language
Benefits:
Employees' wellbeing is top of mind for the Convoy team. Outside of offering excellent medical, dental, and vision benefits, we also offer the following:
On demand mental and emotional health benefits through LyraOn demand primary care through 98.6Generous paid time offPaid parental leave programFertility benefit solutions via Progyny
Child-care and adult/elder-care options through Bright HorizonsOpportunity to join and contribute to one of our Employee Resource GroupsAbility to make a real world impact!
Convoy is an equal-opportunity employer and we welcome applicants from all backgrounds. If you’re a passionate team player who wants to have an outsized impact on a diverse and dynamic team, we’d love to hear from you!"
"Senior Front-End Engineer, Adobe Research",Adobe,"Seattle, WA 98103 (Fremont area)",4.3,None,Posted19 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=a0a05987acad4e31&fccid=f89deb5a97c7738a&vjs=3,"locations
Seattle
San Francisco
San Jose
time type
Full time
posted on
Posted 19 Days Ago
job requisition id
R117194
Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!
The Opportunity
We believe AI will revolutionize the next generation of creative tools, automating repetitive tasks while leaving creative agency with the user. This is your opportunity to join a world-class team of researchers, engineers, and software developers who are inventing the next generation of creative tools powered by machine learning. In this role you will help Adobe Research build a web-based interface that brings AI to video creative tools.
What you’ll do:
Build highly-performant web-based experiences for video creation and consumption. These experiences will connect to a variety of realtime and batch ML and video processing services built by your team.
Build the next generation of creative tools with a multi-disciplinary team of extraordinary engineers and researchers. This is a “best of both worlds” opportunity where you’ll have the flexibility, scope, and personal impact of joining a startup, but also the deep resources, cool perks, and global launch stage that only an industry leader like Adobe can offer.
Mentor & coach junior technical contributors.
What you’ll need to succeed:
B.S., M.S., or Ph.D. in Computer Science, Electrical Engineering, Applied Mathematics, or related technical fields.
5+ years of relevant industry experience, including experience collaborating with technical researchers.
Strong experience with JavaScript and proficiency with modern JS frameworks and web technologies (experience with TypeScript, React, and FRP frameworks like MobX strongly preferred).
Experience optimize web frontend performance, including React rendering, as well as browser rendering and layout and browser caching.
Experience building web frontends that leverage REST services, and a working understanding of the HTTP protocol and Node.js to support debugging communications with those services.
Experience with, or interest in, machine learning, video creation, and live streaming.
A combination of critical thinking and pragmatic delivery to yield the best short-term as well as long-term results. Passionate about product excellence.
Ability to influence & direct multi-functional teams without formal authority. Inherently collaborative, while also demonstrating leadership to successfully implement a sophisticated product or technical roadmap.
Ability to effectively and convincingly communicate ideas and objectives to audiences of all levels."
Software Engineer,Microsoft,"Redmond, WA 98052 (Overlake area)+7 locations",4.2,None,Posted17 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=cf37013b75976128&fccid=734cb5a01ee60f80&vjs=3,"Our Commercial & Consumer Experience Studio is part of the Microsoft Mixed Reality team, where we focus on creating highly crafted and delightful experiences across our family of Mixed Reality devices. We keep people at the center of everything we do, blending the physical and digital world, to unlock the next evolution in human computer and environment interaction, unlocking what before was restricted to our imagination(s). Our team has people from a wide variety of backgrounds, identities, previous work histories, life experiences, and we are eager to maintain and grow that diversity. Our varied backgrounds and unique experiences enable us to be better at building the best solutions for our customers and make for dynamic and joyful collaborations with colleagues!
We are a fun, creative, and diverse team that celebrates and embraces our differences, and we’d love to get to know YOU!
You are drawn to working on the latest and most innovative products in the world. You seek projects that will transform how people interact with technology. You have a drive to grow your skillset by finding unique challenges that have yet to be solved. We are looking for a strong Software Engineer to come join us in delivering the next wave of holographic experiences in an exciting new project.
Responsibilities
You will work on the delivery of high-quality code components that will power the client and frontend experiences for our products
You will partner with industry-leading Engineers, Artists, Producers, and Designers
You will work with state-of-the art next generation hardware, sensors, and software
You will incorporate the latest AI, Machine Learning and Computer vision capabilities into the design of our produc
Qualifications
Basic Qualifications:
1+ years experience in Software Engineering
1+ year experience with C#/C++ coding background, debugging ability across technology stacks
Proficiency with Unity, Unreal or related game engines
Preferred Qualifications:
Experience shipping high quality, scalable, networked user experiences and services
Strong cross-discipline collaboration skills
Great written and verbal communication skills
Augmented, Virtual Reality, and/or Mixed Reality
Cloud and distributed services technologies, such as Docker containers, Storage services, etc.
Computer Vision, Artificial Intelligence and/or Machine Learning
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.
#MixedReality
#ExperienceDevelopmentTeam
#C&C
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior Machine Learning Engineer Digital Innovation Group,Providence,"Seattle, WA 98194+1 location",3.9,None,Posted30+ days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=2112cb551ffc48c0&fccid=84c8ed4c8205d753&vjs=3,"Description:
Providence is calling a Senior Machine Learning Engineer to one of our remote locations in Washington, Oregon, Montana, Alaska, California, New Mexico, or Texas.
The Digital Innovation Group (DIG) at Providence is a small but mighty product development and incubation team. We build next-gen tools that give patients convenient and easy access to health care anywhere, anytime. DIG is both a healthcare startup and a technology/product incubator. Our team gathers market data on effective solutions in the health care space and then builds out a product line with the latest and greatest technology. When market maturity hits, DIG enables the product to spin out as its own company. It is a unique mix of venture capitalists, digital strategists, marketing acumen, product development and engineering all in one group nestled inside one of the largest health systems. We set the pace for other health care organizations around the country on how to conceive, engineer and launch effective health care solutions.
We are seeking a Senior Machine Learning Engineer who will be the technical owner of a first-of-its-kind personalization service for healthcare. You will be responsible for the whole range of ML engineering, including literature reviews and paper research through architecture, design, implementation and launch of the service. You will be essential for maintaining the integrity of our ML Ops and keeping good data hygiene throughout the process, and you will contribute to maintaining the ongoing maintainability, reliability, and trustworthiness of the entire system in a way that only someone with significant machine-learning experience can. You mentor other engineers. You are comfortable owning large projects end to end. You communicate proactively and effectively to both technical and non-technical audiences. You keep yourself apprised of industry and research trends, and share that knowledge with your team.
In this position you will have the following responsibilities:
Work daily in an agile environment with engineers from other teams, product managers, designers, and user research to recommend solutions, define timelines, and solve customer problems.
You have a demonstrated track record of being a change agent, leaving every team and process better than you found it.
Ensure your code is covered by unit and integration tests, and continually improving the testability of our products.
Configure CI/CD systems to automatically build and deploy your solutions to cloud native infrastructure such as Kubernetes.
Ramp up on new techniques and best practices for platform development, and advocate improvements with the team.
Mentor junior developers through code and design reviews.
Build software with a proactive operations mindset to simplify alerting and debugging of customer issues using tools like Splunk. Participate in an on-call support rotation.
Ability to design, develop, and deploy distributed systems and components.
Drive continuous improvement and automation initiatives to improve developer productivity and improve quality.
Pilot new initiatives to keep our technology stack ahead of the curve. learn from past experiences to have a strong opinion on recommended practices.
Qualifications:
Required qualifications for this position include:
Bachelor's Degree in Computer Science -OR- equivalent education/experience.
6 years experience building services at web scale.
4 years dependency Injection and other core features including design of RESTful micro services and cloud hosting.
4 years experience having operational ownership of production services, including working with DevOps and/or SRE teams
2 years sound understanding on performance testing, tuning and analysis experience, in the SOA systems.
2 years experience in Continuous Integration and Continuous Deployment methodologies.
Preferred qualifications for this position include:
Master's Degree in Computer Science or equivalent education/experience.
History of turning state-of-the-art ML research into production systems.
Experience with research and/or productionalization of personalization and/or recommender systems.
Entreprenurial – have a great enjoyment of building new systems from scratch and solving customer needs.
Intense curiosity driving you to continuously learn and grow.
About the department you will serve.
Providence Shared Services provides a variety of functional and system support services for our Providence family of organizations across Alaska, California, Montana, New Mexico, Oregon, Texas and Washington. We are focused on supporting our Mission by delivering a robust foundation of services and sharing of specialized expertise.
We offer comprehensive, best-in-class benefits to our caregivers. For more information, visit
https://www.providenceiscalling.jobs/rewards-benefits/
Our Mission
As expressions of God’s healing love, witnessed through the ministry of Jesus, we are steadfast in serving all, especially those who are poor and vulnerable.
About Us
Providence is a comprehensive not-for-profit network of hospitals, care centers, health plans, physicians, clinics, home health care and services continuing a more than 100-year tradition of serving the poor and vulnerable. Providence is proud to be an Equal Opportunity Employer. Providence does not discriminate on the basis of race, color, gender, disability, veteran, military status, religion, age, creed, national origin, sexual identity or expression, sexual orientation, marital status, genetic information, or any other basis prohibited by local, state, or federal law.
Schedule: Full-time
Shift: Day
Job Category: Development
Location: Washington-Seattle
Other Location(s): Montana, Oregon-Portland, California, New Mexico, Oregon, Washington-Redmond, Washington, Texas, Alaska, California-Irvine
Req ID: 310816"
newTechnology Services - Help Desk Technician,CorneaGen,"Seattle, WA",3.0,None,Posted4 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=1e56bdd2dbb0e5ff&fccid=2d67186f975c7819&vjs=3,"CorneaGen is a mission-driven company committed to transforming how corneal surgeons treat and care for the cornea. Based in Seattle, the company is innovating the next generation of cornea care, from new medical devices and biologics to therapeutics and interventions. CorneaGen supports corneal surgeons and their patients with a spectrum of services, including the latest in innovative products, delivery of the highest quality tissue, surgeon education, and advocacy for patient access and reimbursement policies.

Primary Purpose:
Provides support and education to computer user. Areas covered include software, computer, phones and other technology support as needed. The Technician is also responsible for learning company systems and software, training users, and optimizing the use of software packages, templates, and document management.This position will work closely with outside vendors in supporting organizational tactical and strategic technology needs.

Essential Duties and Responsibilities:

Provide employee education and software training in all areas including Microsoft Productivity Suite Applications, graphics software, and other industry applications.
Manage the company’s help desk: log and resolve user support issues with third party assistance as required.
Maintain Windows desktop computers, laptops, tablets, network printers, scanners, copy machines, telephones and cellular/PDA phones.
Follow checklist to setup new desktops on the network, to include installation of all necessary software.
Maintain an updated list of software licenses as well as company hardware in the company’s inventory tracking database.
Manage Active Directory and the creation of user accounts, passwords, and security groups.
Maintain the company’s phone system; including setting up new phone extensions, managing voicemail boxes, etc.
Maintain hardware, monitor backups, error logs, and antivirus consoles.
Work with technology vendors as needed for analysis and problem resolution.
Provide management reporting as needed on system status and projects, may lead large scale processes.
Manage helpdesk related projects such as software deployment, building new images, etc.
Other duties as assigned or may be necessary.

Qualifications:
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Required Skills/Knowledge/Abilities:

Possess a solid understanding of networks and have the ability to perform software installations and computer setups.
Must have working knowledge of hardware and peripherals including the ability to troubleshoot a variety of hardware including: computers, phones, printers, and other office equipment.
Excellent problem solving, interpersonal and verbal communication skills-must be able to communicate with and train users of widely varying technical and professional background.
Documentation and writing skills-must be able to clearly communicate by email and prepare written documentation for both non-technical and technical readers.
Ability to apply knowledge to troubleshoot and provide effective solutions to technical difficulties users may encounter.
Ability to meet deadlines in a timely manner. And perform work with minimal supervision.
Ability to exercise initiative and judgment and make decisions within the scope of the assigned responsibilities.
Maintain confidentiality and data security of company information, practices, and internal affairs.
Able to interpret and follow verbal and written direction.
A personal commitment to organ and tissue donation required.
All CorneaGen staff are expected to be able to use Word, Excel, Outlook or their equivalents at a functional level.
Understanding and adherence to CorneaGen's safety, regulatory and confidentiality guidelines.

Education and/or Equivalent Experience:

HS Diploma plus at least 2 years of help desk experience required or an equivalent combination of related education and experience.
2+ years of experience and knowledge working with Microsoft Windows and Microsoft Office software is required (this includes trouble shooting operating system problems).

As an equal opportunity employer, every qualified applicant will be considered for employment. CorneaGen does not discriminate based on race, color, sex/gender, political ideology, religion/creed, pregnancy, age, physical or mental disability, medical condition, genetic information, marital status, national origin, color, military or veteran’s status, sexual orientation, gender identity, or any other status or characteristic protected by local, state, or federal laws. CorneaGen is committed to a diverse workforce and is also committed to a barrier-free employment process. In order to ensure reasonable accommodations with Title I of the Americans with Disabilities Act of 1990, individuals that require accommodations in the job application process for a posted position may contact us at (206) 701-5840 for assistance."
Site Reliability Engineer ML Systems - TikTok,TikTok,"Seattle, WA+2 locations",3.6,None,Posted14 days ago,2021-12-04,https://www.indeed.com/rc/clk?jk=b2fd3835b2b14207&fccid=caed318a9335aac0&vjs=3,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

What You'll Do:
Site Reliability Engineering (SRE) of Machine Learning System team combines system engineering and the art of machine learning to develop and run massively distributed ML training and Inference system around the world.

On the SRE team, you'll have the opportunity to build and enrich your expertise in coding, performance analysis and large system management, and get heavily involved in the process of hardware/capacity decision-making.

SRE ensures that ML systems are running in high level of availability, reliability and scalability. SRE will build and run the automated system and platform to manage the huge number of GPU machines, and leverage the machine learning technology to help operations efficiently.

Responsibilities:
1. Deploy and maintain the machine learning system and platform, including training, inference, pipeline orchestration in the production environment
2. Build software and systems to monitor and manage the platform infrastructure and services to ensure system health
3. Manage GPU clusters to improve availability, reliability and efficiency
4. Handling on-calls and incidents
1. Bachelor or above degree in Computer Science or a related technical discipline with 2+ years' working experience
2. Programming experience with at least one language such as Golang, Python and Shell
3. Familiar with Kubernetes / YARN orchestrations
4. Strong problem solving and data analysis abilities
5. Self-motivated, team work, and good communication skills"
